都道府県名|陽性者数 検査人数※3||％
北海道|17,342|317,376|5.5%
青森 ※3|711|13,109|5.4%
※3※4※5 岩手|496|19,948|2.5%
宮城 ※3※5|3,384|48,324|7.0%
秋田|260|6,370|4.1%
山形|500|14,104|3.5%
福島 ※3|1,718|84,423|2.0%
茨城|4,755|23,081|20.6%
栃木 ※3※5|3,755|104,961|3.6%
群馬 ※3※5|3,806|74,179|5.1%
埼玉 ※4|24,948|448,739|5.6%
千葉|22,104|325,923|6.8%
東京 ※1|99,208|1,309,999|7.6%
神奈川|40,374|491,045|8.2%
新潟 ※3※5|904|36,820|2.5%
富山 ※3※5|868|30,685|2.8%
石川 ※3|1,455|40,394|3.6%
福井 ※3|510|26,805|1.9%
山梨 ※3|898|14,741|6.1%
⾧野 ※3※5|2,280|80,987|2.8%
岐阜 ※5|4,197|104,356|4.0%
静岡 ※3※4|4,566|142,180|3.2%
※3※4※5 愛知|23,775|309,425|7.7%
三重 ※3|2,174|46,585|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,115|55,558|3.8%
京都|8,200|127,431|6.4%
大阪 ※3※5|43,508|646,657|6.7%
※3※4※5 兵庫|16,220|200,149|8.1%
奈良 ※5|3,009|67,562|4.5%
和歌山|1,054|21,447|4.9%
鳥取 ※3※4|198|33,712|0.6%
島根 ※5|265|12,166|2.2%
岡山 ※4|2,329|51,686|4.5%
広島 ※3|4,763|120,841|3.9%
山口 ※4|1,218|45,815|2.7%
徳島 ※3|384|21,315|1.8%
香川 ※5|635|37,278|1.7%
愛媛|993|25,514|3.9%
高知|846|6,856|12.3%
※3※4※5 福岡|15,895|367,574|4.3%
佐賀 ※3|946|23,763|4.0%
⾧崎|1,474|56,522|2.6%
熊本|3,331|51,460|6.5%
大分|1,145|63,091|1.8%
宮崎|1,808|22,673|8.0%
鹿児島|1,598|54,720|2.9%
沖縄 ※3|7,511|124,179|6.0%
⾧崎船 ※2 その他|149|0|-
合計|384,582|6,352,528|6.1%
