都道府県名|陽性者数 検査人数※3||％
北海道|13,778|243,136|5.7%
青森 ※3|516|10,327|5.0%
※3※4※5 岩手|394|14,508|2.7%
宮城 ※3※5|2,252|25,035|9.0%
秋田|149|4,848|3.1%
山形|402|10,378|3.9%
福島 ※3|1,008|59,334|1.7%
茨城|2,592|18,978|13.7%
栃木 ※3※5|1,731|74,290|2.3%
群馬 ※3※5|2,449|54,390|4.5%
埼玉 ※4|15,180|326,926|4.6%
千葉|11,877|234,043|5.1%
東京 ※1|63,474|1,019,583|6.2%
神奈川|22,892|358,543|6.4%
新潟 ※3※5|572|28,706|2.0%
富山 ※3※5|577|22,384|2.6%
石川 ※3|1,119|30,248|3.7%
福井 ※3|360|19,666|1.8%
山梨 ※3|588|14,618|4.0%
長野 ※3※5|1,260|52,092|2.4%
岐阜 ※5|2,494|66,276|3.8%
静岡 ※3※4|2,812|99,712|2.8%
※3※4※5 愛知|17,090|199,918|8.5%
三重 ※3|1,339|30,675|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,297|39,017|3.3%
京都|4,989|96,126|5.2%
大阪 ※3※5|31,058|475,433|6.5%
※3※4※5 兵庫|10,333|144,137|7.2%
奈良 ※5|2,130|51,105|4.2%
和歌山|661|16,728|4.0%
鳥取 ※3※4|127|25,067|0.5%
島根 ※5|214|9,344|2.3%
岡山 ※4|1,473|31,723|4.6%
広島 ※3|3,538|75,233|4.7%
山口 ※4|609|29,766|2.0%
徳島 ※3|201|15,440|1.3%
香川 ※5|315|24,652|1.3%
愛媛|493|13,805|3.6%
高知|689|6,021|11.4%
※3※4※5 福岡|9,477|270,382|3.5%
佐賀 ※3|500|15,346|3.3%
長崎|703|40,578|1.7%
熊本|1,981|37,649|5.3%
大分|730|43,508|1.7%
宮崎|878|13,419|6.5%
鹿児島|1,060|40,734|2.6%
沖縄 ※3|5,487|91,439|6.0%
長崎船 ※2 その他|149|0|-
合計|245,997|4,625,266|5.3%
