都道府県名|陽性者数 検査人数||％
北海道|18,080|337,671|5.4%
青森|744|15,461|4.8%
岩手|514|21,220|2.4%
宮城|3,471|49,295|7.0%
秋田|269|6,756|4.0%
山形|526|15,793|3.3%
福島|1,778|91,725|1.9%
茨城|5,142|23,780|21.6%
栃木|3,881|113,822|3.4%
群馬|4,092|78,856|5.2%
埼玉|26,711|481,323|5.5%
千葉|23,736|343,060|6.9%
東京|103,845|1,372,936|7.6%
神奈川|42,281|520,223|8.1%
新潟|953|38,193|2.5%
富山|880|32,299|2.7%
石川|1,533|43,387|3.5%
福井|521|27,986|1.9%
山梨|908|14,741|6.2%
長野|2,335|86,509|2.7%
岐阜|4,431|111,999|4.0%
静岡|4,742|154,697|3.1%
愛知|24,623|333,828|7.4%
三重|2,331|52,085|4.5%
都道府県名|陽性者数 検査人数||％
滋賀|2,238|62,060|3.6%
京都|8,651|137,085|6.3%
大阪|45,076|685,699|6.6%
兵庫|17,080|215,147|7.9%
奈良|3,198|72,095|4.4%
和歌山|1,108|22,633|4.9%
鳥取|207|36,013|0.6%
島根|276|13,515|2.0%
岡山|2,406|55,878|4.3%
広島|4,879|120,841|4.0%
山口|1,302|49,814|2.6%
徳島|395|22,854|1.7%
香川|699|40,035|1.7%
愛媛|1,013|27,683|3.7%
高知|862|6,968|12.4%
福岡|16,434|389,767|4.2%
佐賀|978|25,057|3.9%
長崎|1,543|60,465|2.6%
熊本|3,372|55,010|6.1%
大分|1,226|68,959|1.8%
宮崎|1,879|24,027|7.8%
鹿児島|1,669|58,619|2.8%
沖縄|7,842|131,897|5.9%
長崎船 その他|149|0|-
合計|402,809|6,749,766|6.0%
