都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|393,458|2,439,543|7,456|1|382,750|2,105
青森|68,512|278,433|4,240|0|64,155|117
岩手|41,339|312,664|2,807|0|38,435|97
宮城|100,007|649,793|3,973|1|95,027|202
秋田|33,789|64,648|1,537|1|32,180|72
山形|32,574|205,059|1,706|0|30,770|98
福島|69,970|897,118|2,834|0|66,908|228
茨城|171,260|1,380,150|3,987|1|166,820|453
栃木|98,551|790,348|3,721|0|94,549|281
群馬|104,038|700,765|4,747|0|98,968|323
埼玉|603,042|3,058,152|29,646|7|571,729|1,667
千葉|492,684|2,277,930|16,144|3|466,801|1,811
東京|1,713,982|7,498,055|97,804|15|1,611,586|4,592
神奈川|828,946|3,342,418|34,586|18|792,110|2,250
新潟|79,963|711,016|3,293|0|76,579|91
富山|43,183|271,056|2,696|0|40,390|97
石川|64,319|528,156|3,326|1|60,771|199
福井|42,341|353,227|2,274|0|40,021|46
山梨|36,792|377,768|1,796|0|34,934|68
長野|82,479|795,454|3,306|0|78,620|206
岐阜|117,337|976,756|5,920|1|110,013|351
静岡|191,971|1,366,033|11,704|0|179,299|425
愛知|604,852|2,998,909|30,117|1|572,628|2,107
三重|94,964|573,678|5,843|1|90,951|317
滋賀|101,736|700,322|4,634|1|96,880|222
京都|226,528|897,749|10,730|14|212,677|757
大阪|1,084,096|7,709,606|60,778|6|1,018,088|5,230
兵庫|468,667|1,707,296|18,037|5|448,374|2,258
奈良|102,537|561,896|5,909|3|96,234|394
和歌山|49,699|192,142|3,140|0|46,217|118
鳥取|19,508|446,746|2,638|0|16,633|20
島根|29,093|245,209|7,652|0|21,418|23
岡山|109,851|631,386|1,492|0|103,894|252
広島|176,733|2,025,951|6,090|2|170,146|497
山口|53,582|629,555|3,436|0|49,965|181
徳島|26,518|236,893|1,558|0|24,884|86
香川|54,102|301,192|2,572|0|51,398|132
愛媛|52,158|405,472|5,995|2|46,020|143
高知|33,473|330,875|2,098|0|31,259|116
福岡|487,375|2,945,453|24,726|0|450,060|1,292
佐賀|66,185|310,925|5,780|0|56,193|113
長崎|73,373|466,453|5,233|0|68,027|129
熊本|132,178|327,720|12,035|3|119,822|321
大分|66,416|653,999|6,144|0|60,101|171
宮崎|66,204|197,675|5,965|0|60,002|150
鹿児島|105,662|467,601|8,007|1|95,924|215
沖縄|284,412|970,380|22,258|19|261,620|497
その他（その他）|149|0|0|0|149|0
合計|9,980,588|56,209,625|512,370|107|9,402,979|31,520
