都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|367,633|2,300,254|11,249|2|354,555|2,075
青森|58,172|252,726|1,385|0|56,683|104
岩手|36,076|286,137|1,734|0|34,248|94
宮城|89,222|597,164|2,087|0|86,668|198
秋田|31,063|62,935|898|0|30,095|70
山形|29,136|196,791|689|0|28,353|94
福島|64,614|843,716|1,139|1|63,252|223
茨城|160,766|1,343,469|1,409|0|158,918|439
栃木|92,065|758,254|1,300|1|90,491|274
群馬|95,704|655,932|1,442|2|93,941|321
埼玉|556,218|2,874,894|5,408|2|549,177|1,633
千葉|453,894|2,137,268|3,616|1|447,563|1,780
東京|1,557,448|6,985,334|22,907|2|1,530,011|4,530
神奈川|761,871|2,180,686|6,624|7|753,035|2,212
新潟|73,378|664,557|1,333|1|71,954|91
富山|38,128|254,008|1,405|0|36,630|93
石川|57,453|467,158|1,566|0|55,668|196
福井|36,524|332,212|1,025|0|35,454|45
山梨|33,298|336,886|630|0|32,601|68
長野|75,088|742,089|1,346|0|73,520|203
岐阜|104,520|907,825|3,156|0|100,692|341
静岡|173,706|1,270,933|3,623|2|169,449|416
愛知|549,943|2,805,424|10,362|5|537,503|2,078
三重|83,877|528,933|1,558|1|84,003|306
滋賀|92,221|654,775|1,614|0|90,388|219
京都|206,087|845,234|3,387|5|201,681|722
大阪|986,953|7,201,926|15,315|15|966,548|5,090
兵庫|430,656|1,584,652|6,186|3|422,235|2,236
奈良|93,864|525,255|1,566|0|91,910|388
和歌山|42,881|175,276|570|1|41,984|117
鳥取|15,512|407,654|484|0|14,808|20
島根|17,350|221,138|462|0|16,873|15
岡山|100,796|588,609|3,285|2|94,797|248
広島|161,115|1,925,791|6,359|1|154,266|490
山口|46,418|587,797|1,740|0|44,500|178
徳島|22,906|218,767|687|0|22,139|85
香川|49,270|281,510|1,049|0|48,093|128
愛媛|41,131|367,030|1,473|1|39,518|140
高知|28,471|298,252|930|1|27,428|113
福岡|433,272|2,729,220|7,775|3|417,946|1,264
佐賀|53,430|283,189|1,023|0|49,865|106
長崎|61,118|400,499|2,748|0|58,253|124
熊本|101,453|286,803|3,443|3|97,715|295
大分|55,610|599,918|1,232|1|54,216|162
宮崎|55,000|192,593|1,937|0|52,994|144
鹿児島|86,349|424,628|2,923|0|82,819|202
沖縄|226,820|871,198|10,845|14|215,418|466
その他（その他）|149|0|0|0|149|0
合計|8,988,629|51,457,299|164,924|77|8,781,007|30,836
