都道府県名|陽性者数 検査人数※3||％
北海道|6,684|122,381|5.5%
青森 ※3|280|6,349|4.4%
※3※4※5 岩手|127|7,560|1.7%
宮城 ※3※5|1,075|17,396|6.2%
秋田|74|3,155|2.3%
山形|107|7,184|1.5%
福島 ※3|474|37,381|1.3%
茨城|1,205|15,503|7.8%
栃木 ※3※5|558|51,487|1.1%
群馬 ※3※5|1,033|34,203|3.0%
埼玉 ※4|7,499|217,347|3.5%
千葉|6,308|154,668|4.1%
東京 ※1|37,317|707,444|5.3%
神奈川|11,181|234,414|4.8%
新潟 ※3※5|295|20,826|1.4%
富山 ※3※5|441|16,124|2.7%
石川 ※3|833|20,662|4.0%
福井 ※3|300|13,504|2.2%
山梨 ※3|298|12,801|2.3%
長野 ※3※5|592|27,741|2.1%
岐阜 ※5|911|31,292|2.9%
静岡 ※3※4|1,111|51,416|2.2%
※3※4※5 愛知|8,464|124,076|6.8%
三重 ※3|706|18,271|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|730|25,024|2.9%
京都|2,409|60,062|4.0%
大阪 ※3※5|17,159|292,105|5.9%
※3※4※5 兵庫|4,485|83,625|5.4%
奈良 ※5|975|29,663|3.3%
和歌山|379|12,054|3.1%
鳥取 ※3|53|6,197|0.9%
島根 ※5|142|6,498|2.2%
岡山 ※4|485|17,220|2.8%
広島 ※3|736|31,670|2.3%
山口 ※4|343|13,795|2.5%
徳島 ※3|178|7,724|2.3%
香川 ※5|129|15,802|0.8%
愛媛|186|5,240|3.5%
高知|146|3,704|3.9%
※3※4※5 福岡|5,513|189,078|2.9%
佐賀 ※3|293|8,789|3.3%
長崎|254|25,667|1.0%
熊本|951|22,677|4.2%
大分|209|24,933|0.8%
宮崎|414|8,918|4.6%
鹿児島|592|25,683|2.3%
沖縄 ※3|3,967|67,188|5.9%
長崎船 ※2 その他|149|0|-
合計|128,750|2,936,501|4.4%
