都道府県名|陽性者数 検査人数※3||％
北海道|2,933|78,717|3.7%
青森 ※3|206|4,462|4.6%
※3※4※5 岩手|27|5,235|0.5%
宮城 ※3※5|655|13,437|4.9%
秋田|61|2,481|2.5%
山形|86|5,995|1.4%
福島 ※3|387|28,254|1.4%
茨城|750|13,751|5.5%
栃木 ※3※5|482|41,671|1.2%
群馬 ※3※5|884|28,548|3.1%
埼玉 ※4|5,726|180,341|3.2%
千葉|4,920|122,293|4.0%
東京 ※1|30,456|585,729|5.2%
神奈川|8,517|195,864|4.3%
新潟 ※3※5|182|17,566|1.0%
富山 ※3※5|422|14,431|2.9%
石川 ※3|803|16,704|4.8%
福井 ※3|256|10,979|2.3%
山梨 ※3|209|11,514|1.8%
長野 ※3※5|335|22,681|1.5%
岐阜 ※5|672|26,569|2.5%
静岡 ※3※4|620|42,132|1.5%
※3※4※5 愛知|5,941|96,089|6.2%
三重 ※3|555|15,456|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|546|13,962|3.9%
京都|1,989|51,757|3.8%
大阪 ※3※5|12,348|230,194|5.4%
※3※4※5 兵庫|3,157|67,302|4.7%
奈良 ※5|631|24,388|2.6%
和歌山|273|10,349|2.6%
鳥取 ※3|38|5,729|0.7%
島根 ※5|141|6,189|2.3%
岡山 ※4|230|10,217|2.3%
広島 ※3|657|27,197|2.4%
山口 ※4|213|11,826|1.8%
徳島 ※3|164|7,432|2.2%
香川 ※5|101|13,321|0.8%
愛媛|116|4,337|2.7%
高知|144|3,621|4.0%
※3※4※5 福岡|5,194|161,242|3.2%
佐賀 ※3|254|7,005|3.6%
長崎|244|22,048|1.1%
熊本|779|19,151|4.1%
大分|159|20,506|0.8%
宮崎|367|8,772|4.2%
鹿児島|463|22,011|2.1%
沖縄 ※3|3,245|56,121|5.8%
長崎船 ※2 その他|149|0|-
合計|97,687|2,385,576|4.1%
