都道府県名|陽性者数 検査人数※3||％
北海道|5,285|106,601|5.0%
青森 ※3|278|6,157|4.5%
※3※4※5 岩手|69|6,312|1.1%
宮城 ※3※5|983|16,285|6.0%
秋田|73|2,695|2.7%
山形|97|6,999|1.4%
福島 ※3|435|35,161|1.2%
茨城|967|14,703|6.6%
栃木 ※3※5|516|48,508|1.1%
群馬 ※3※5|956|32,842|2.9%
埼玉 ※4|6,821|206,881|3.3%
千葉|5,781|143,246|4.0%
東京 ※1|34,751|664,117|5.2%
神奈川|10,155|220,848|4.6%
新潟 ※3※5|226|19,699|1.1%
富山 ※3※5|425|15,777|2.7%
石川 ※3|830|19,731|4.2%
福井 ※3|272|12,253|2.2%
山梨 ※3|275|12,472|2.2%
⾧野 ※3※5|461|25,663|1.8%
岐阜 ※5|809|29,309|2.8%
静岡 ※3※4|822|48,055|1.7%
※3※4※5 愛知|7,599|114,475|6.6%
三重 ※3|620|17,127|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|663|14,966|4.4%
京都|2,222|55,975|4.0%
大阪 ※3※5|15,421|270,847|5.7%
※3※4※5 兵庫|3,895|77,289|5.0%
奈良 ※5|844|27,245|3.1%
和歌山|326|11,245|2.9%
鳥取 ※3|52|6,090|0.9%
島根 ※5|141|6,354|2.2%
岡山 ※4|396|14,762|2.7%
広島 ※3|694|29,759|2.3%
山口 ※4|266|12,510|2.1%
徳島 ※3|171|7,659|2.2%
香川 ※5|114|14,905|0.8%
愛媛|129|4,625|2.8%
高知|144|3,690|3.9%
※3※4※5 福岡|5,379|179,855|3.0%
佐賀 ※3|278|8,048|3.5%
⾧崎|249|24,603|1.0%
熊本|903|21,470|4.2%
大分|164|23,081|0.7%
宮崎|373|8,829|4.2%
鹿児島|554|24,653|2.2%
沖縄 ※3|3,741|65,248|5.7%
⾧崎船 ※2 その他|149|0|-
合計|116,774|2,739,624|4.3%
