都道府県名|陽性者数|検査人数|％
北海道|60,404|1,114,799|5.4%
青森|5,767|89,061|6.5%
岩手|3,485|122,110|2.9%
宮城|16,241|241,164|6.7%
秋田|1,892|26,592|7.1%
山形|3,510|98,110|3.6%
福島|9,464|411,007|2.3%
茨城|24,295|40,174|60.5%
栃木|15,369|483,863|3.2%
群馬|16,645|296,186|5.6%
埼玉|115,213|1,461,742|7.9%
千葉|100,009|1,073,326|9.3%
東京|376,716|3,668,062|10.3%
神奈川|168,335|1,602,615|10.5%
新潟|7,945|287,103|2.8%
富山|4,830|114,600|4.2%
石川|7,914|195,410|4.0%
福井|3,079|116,716|2.6%
山梨|5,135|111,974|4.6%
長野|8,801|316,832|2.8%
岐阜|18,921|409,414|4.6%
静岡|26,683|620,530|4.3%
愛知|105,801|1,307,579|8.1%
三重|14,701|263,303|5.6%
都道府県名|陽性者数|検査人数|％
滋賀|12,326|256,383|4.8%
京都|35,699|422,507|8.4%
大阪|201,050|3,489,014|5.8%
兵庫|77,880|748,800|10.4%
奈良|15,753|249,501|6.3%
和歌山|5,277|65,358|8.1%
鳥取|1,651|146,924|1.1%
島根|1,632|55,076|3.0%
岡山|15,175|266,922|5.7%
広島|21,792|889,244|2.5%
山口|5,642|186,064|3.0%
徳島|3,277|104,009|3.2%
香川|4,692|129,099|3.6%
愛媛|5,250|151,407|3.5%
高知|4,117|97,228|4.2%
福岡|74,161|1,252,899|5.9%
佐賀|5,793|103,679|5.6%
長崎|6,039|179,513|3.4%
熊本|14,322|123,063|11.6%
大分|8,169|264,744|3.1%
宮崎|6,142|72,739|8.4%
鹿児島|9,076|167,944|5.4%
沖縄|49,865|395,119|12.6%
その他|149|0-|
合計|1,706,084|24,289,508|7.0%
