都道府県名|陽性者数 検査人数※3||％
北海道|11,930|207,002|5.8%
青森 ※3|390|8,573|4.5%
※3※4※5 岩手|327|12,829|2.5%
宮城 ※3※5|1,682|23,163|7.3%
秋田|94|3,878|2.4%
山形|302|9,487|3.2%
福島 ※3|682|48,583|1.4%
茨城|2,098|18,137|11.6%
栃木 ※3※5|968|64,646|1.5%
群馬 ※3※5|1,867|46,260|4.0%
埼玉 ※4|11,290|280,300|4.0%
千葉|8,808|201,920|4.4%
東京 ※1|50,154|894,214|5.6%
神奈川|16,298|311,376|5.2%
新潟 ※3※5|428|25,524|1.7%
富山 ※3※5|484|19,756|2.4%
石川 ※3|947|26,524|3.6%
福井 ※3|337|17,343|1.9%
山梨 ※3|467|14,278|3.3%
長野 ※3※5|1,023|40,462|2.5%
岐阜 ※5|1,682|55,191|3.0%
静岡 ※3※4|2,322|74,303|3.1%
※3※4※5 愛知|13,519|170,726|7.9%
三重 ※3|1,122|26,913|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|903|32,908|2.7%
京都|3,559|79,776|4.5%
大阪 ※3※5|26,476|405,158|6.5%
※3※4※5 兵庫|7,846|120,191|6.5%
奈良 ※5|1,600|41,712|3.8%
和歌山|572|15,614|3.7%
鳥取 ※3※4|68|20,998|0.3%
島根 ※5|178|8,556|2.1%
岡山 ※4|911|27,231|3.3%
広島 ※3|2,026|56,843|3.6%
山口 ※4|453|24,734|1.8%
徳島 ※3|188|14,157|1.3%
香川 ※5|206|20,313|1.0%
愛媛|374|10,835|3.5%
高知|465|5,176|9.0%
※3※4※5 福岡|6,998|236,143|3.0%
佐賀 ※3|405|13,004|3.1%
長崎|352|31,987|1.1%
熊本|1,353|29,145|4.6%
大分|559|36,605|1.5%
宮崎|647|11,569|5.6%
鹿児島|868|33,826|2.6%
沖縄 ※3|4,926|82,311|6.0%
長崎船 ※2 その他|149|0|-
合計|191,303|3,960,180|4.8%
