都道府県名|陽性者数 検査人数※3||％
北海道|6,113|116,432|5.3%
青森 ※3|280|6,294|4.4%
※3※4※5 岩手|97|7,190|1.3%
宮城 ※3※5|1,046|17,017|6.1%
秋田|74|3,155|2.3%
山形|105|7,126|1.5%
福島 ※3|458|36,590|1.3%
茨城|1,099|15,414|7.1%
栃木 ※3※5|542|49,054|1.1%
群馬 ※3※5|994|33,732|2.9%
埼玉 ※4|7,230|214,783|3.4%
千葉|6,109|152,376|4.0%
東京 ※1|36,256|694,770|5.2%
神奈川|10,780|232,100|4.6%
新潟 ※3※5|274|20,479|1.3%
富山 ※3※5|435|15,977|2.7%
石川 ※3|831|20,270|4.1%
福井 ※3|295|13,040|2.3%
山梨 ※3|292|12,762|2.3%
長野 ※3※5|545|27,444|2.0%
岐阜 ※5|875|30,679|2.9%
静岡 ※3※4|1,053|50,828|2.1%
※3※4※5 愛知|8,043|121,305|6.6%
三重 ※3|666|17,127|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|708|14,966|4.7%
京都|2,395|59,309|4.0%
大阪 ※3※5|16,374|284,006|5.8%
※3※4※5 兵庫|4,223|80,976|5.2%
奈良 ※5|929|29,282|3.2%
和歌山|361|11,829|3.1%
鳥取 ※3|53|6,177|0.9%
島根 ※5|142|6,498|2.2%
岡山 ※4|445|17,220|2.6%
広島 ※3|724|31,336|2.3%
山口 ※4|303|13,795|2.2%
徳島 ※3|175|7,697|2.3%
香川 ※5|125|15,605|0.8%
愛媛|153|4,880|3.1%
高知|144|3,698|3.9%
※3※4※5 福岡|5,442|185,859|2.9%
佐賀 ※3|290|8,483|3.4%
長崎|253|25,328|1.0%
熊本|940|22,574|4.2%
大分|196|24,179|0.8%
宮崎|388|8,869|4.4%
鹿児島|576|25,386|2.3%
沖縄 ※3|3,887|65,911|5.9%
長崎船 ※2 その他|149|0|-
合計|123,867|2,869,807|4.3%
