都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|445,271|2,547,975|35,546|3|403,358|2,134
青森|86,379|300,185|12,597|0|73,644|138
岩手|52,639|343,116|7,786|0|44,748|105
宮城|128,441|698,731|19,486|12|105,033|211
秋田|43,693|67,328|8,457|1|35,159|77
山形|40,536|212,478|6,742|0|33,701|103
福島|80,110|928,607|9,215|1|70,666|229
茨城|201,253|1,477,266|16,907|2|183,871|475
栃木|122,522|822,468|19,469|5|102,759|294
群馬|129,034|741,384|20,481|2|108,215|340
埼玉|737,679|3,266,674|103,212|26|632,789|1,678
千葉|601,619|2,398,585|56,538|9|512,696|1,857
東京|2,101,784|7,991,721|280,882|26|1,816,253|4,649
神奈川|996,220|3,683,405|99,066|42|894,853|2,301
新潟|102,985|761,063|16,155|7|86,737|93
富山|56,909|287,785|12,327|2|44,481|101
石川|80,022|576,284|11,396|0|68,402|201
福井|54,164|375,461|8,190|0|45,921|53
山梨|47,437|415,382|7,175|0|40,237|75
長野|102,217|840,180|10,794|0|87,160|209
岐阜|145,350|1,037,601|20,022|3|122,311|363
静岡|249,233|1,468,792|36,248|3|209,398|447
愛知|753,441|3,170,868|109,877|16|641,417|2,147
三重|121,066|617,937|17,940|0|105,241|334
滋賀|123,228|740,868|16,314|0|106,683|231
京都|278,417|957,397|41,569|87|231,013|768
大阪|1,331,835|8,182,798|201,442|49|1,125,063|5,330
兵庫|573,930|1,860,467|71,091|21|500,536|2,307
奈良|125,060|603,356|20,094|8|104,560|406
和歌山|63,690|217,297|6,749|2|56,541|131
鳥取|26,709|502,953|5,010|0|21,422|23
島根|41,307|286,178|7,902|5|33,365|40
岡山|132,202|677,834|10,686|2|113,178|258
広島|204,716|2,098,726|19,524|9|184,676|516
山口|70,065|661,736|11,872|0|57,996|197
徳島|34,208|253,259|5,201|3|28,949|90
香川|67,802|320,635|9,464|1|58,194|144
愛媛|68,789|450,822|13,257|1|55,382|150
高知|42,058|352,706|6,285|6|35,654|119
福岡|628,294|3,186,595|87,895|11|518,206|1,350
佐賀|85,099|335,980|11,714|0|68,238|132
長崎|94,642|520,537|15,303|1|79,280|143
熊本|179,876|381,803|28,056|10|151,451|369
大分|88,425|706,362|13,303|0|74,936|186
宮崎|89,309|207,364|16,424|1|72,545|165
鹿児島|140,981|524,279|23,620|1|113,799|232
沖縄|348,639|1,028,950|40,119|25|307,971|507
その他（その他）|149|0|0|0|149|0
合計|12,319,434|60,090,178|1,629,402|403|10,568,837|32,408
