都道府県名|陽性者数 検査人数※3||％
北海道|9,251|157,664|5.9%
青森 ※3|315|6,975|4.5%
※3※4※5 岩手|212|9,887|2.1%
宮城 ※3※5|1,230|19,189|6.4%
秋田|90|3,677|2.4%
山形|149|7,717|1.9%
福島 ※3|509|40,917|1.2%
茨城|1,692|17,233|9.8%
栃木 ※3※5|702|56,119|1.3%
群馬 ※3※5|1,312|36,684|3.6%
埼玉 ※4|8,830|242,738|3.6%
千葉|7,239|169,433|4.3%
東京 ※1|42,344|784,259|5.4%
神奈川|13,126|262,887|5.0%
新潟 ※3※5|348|22,805|1.5%
富山 ※3※5|461|17,678|2.6%
石川 ※3|862|22,755|3.8%
福井 ※3|320|15,346|2.1%
山梨 ※3|362|13,619|2.7%
長野 ※3※5|760|32,727|2.3%
岐阜 ※5|1,161|42,063|2.8%
静岡 ※3※4|1,782|60,541|2.9%
※3※4※5 愛知|10,528|143,080|7.4%
三重 ※3|905|19,848|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|804|28,577|2.8%
京都|2,714|67,950|4.0%
大阪 ※3※5|21,404|338,860|6.3%
※3※4※5 兵庫|5,868|99,809|5.9%
奈良 ※5|1,229|34,463|3.6%
和歌山|478|13,801|3.5%
鳥取 ※3※4|61|17,738|0.3%
島根 ※5|152|7,158|2.1%
岡山 ※4|629|20,802|3.0%
広島 ※3|897|35,884|2.5%
山口 ※4|402|19,028|2.1%
徳島 ※3|182|7,848|2.3%
香川 ※5|154|17,757|0.9%
愛媛|331|7,393|4.5%
高知|180|3,871|4.6%
※3※4※5 福岡|5,932|206,315|2.9%
佐賀 ※3|329|10,160|3.2%
長崎|273|27,725|1.0%
熊本|1,055|24,650|4.3%
大分|342|28,985|1.2%
宮崎|527|10,183|5.2%
鹿児島|629|27,883|2.3%
沖縄 ※3|4,447|74,544|6.0%
長崎船 ※2 その他|149|0|-
合計|153,658|3,337,225|4.6%
