都道府県名|陽性者数 検査人数※3||％
北海道|8,022|139,729|5.7%
青森 ※3|287|6,569|4.4%
※3※4※5 岩手|179|8,810|2.0%
宮城 ※3※5|1,168|18,491|6.3%
秋田|89|3,500|2.5%
山形|116|7,409|1.6%
福島 ※3|490|39,101|1.3%
茨城|1,442|16,407|8.8%
栃木 ※3※5|607|52,980|1.1%
群馬 ※3※5|1,148|35,312|3.3%
埼玉 ※4|8,104|230,484|3.5%
千葉|6,751|160,899|4.2%
東京 ※1|39,649|743,888|5.3%
神奈川|12,112|249,352|4.9%
新潟 ※3※5|326|21,992|1.5%
富山 ※3※5|453|16,966|2.7%
石川 ※3|846|21,523|3.9%
福井 ※3|312|14,493|2.2%
山梨 ※3|336|13,459|2.5%
長野 ※3※5|670|30,587|2.2%
岐阜 ※5|1,014|32,891|3.1%
静岡 ※3※4|1,447|55,546|2.6%
※3※4※5 愛知|9,398|135,512|6.9%
三重 ※3|797|19,848|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|773|27,121|2.9%
京都|2,585|64,192|4.0%
大阪 ※3※5|19,167|313,767|6.1%
※3※4※5 兵庫|5,211|91,975|5.7%
奈良 ※5|1,087|31,912|3.4%
和歌山|428|12,996|3.3%
鳥取 ※3※4|58|16,298|0.4%
島根 ※5|145|6,772|2.1%
岡山 ※4|568|19,205|3.0%
広島 ※3|785|34,211|2.3%
山口 ※4|372|17,013|2.2%
徳島 ※3|181|7,779|2.3%
香川 ※5|135|16,584|0.8%
愛媛|296|6,776|4.4%
高知|149|3,747|4.0%
※3※4※5 福岡|5,644|196,941|2.9%
佐賀 ※3|300|9,506|3.2%
長崎|265|26,604|1.0%
熊本|999|23,481|4.3%
大分|255|26,669|1.0%
宮崎|477|9,431|5.1%
鹿児島|607|27,152|2.2%
沖縄 ※3|4,169|71,380|5.8%
長崎船 ※2 その他|149|0|-
合計|140,568|3,137,260|4.5%
