都道府県名|陽性者数 検査人数※3||％
北海道|2,933|78,717|3.7%
青森 ※3|217|4,702|4.6%
※3※4※5 岩手|27|5,261|0.5%
宮城 ※3※5|679|13,738|4.9%
秋田|61|2,481|2.5%
山形|86|6,031|1.4%
福島 ※3|387|28,628|1.4%
茨城|757|13,808|5.5%
栃木 ※3※5|484|41,786|1.2%
群馬 ※3※5|890|28,891|3.1%
埼玉 ※4|5,765|181,338|3.2%
千葉|4,963|124,723|4.0%
東京 ※1|30,677|591,157|5.2%
神奈川|8,588|197,734|4.3%
新潟 ※3※5|183|17,662|1.0%
富山 ※3※5|423|14,459|2.9%
石川 ※3|803|16,885|4.8%
福井 ※3|256|11,032|2.3%
山梨 ※3|212|11,562|1.8%
⾧野 ※3※5|338|22,862|1.5%
岐阜 ※5|677|26,668|2.5%
静岡 ※3※4|636|42,455|1.5%
※3※4※5 愛知|5,992|96,926|6.2%
三重 ※3|556|15,464|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|546|13,979|3.9%
京都|2,003|52,073|3.8%
大阪 ※3※5|12,473|232,501|5.4%
※3※4※5 兵庫|3,186|67,698|4.7%
奈良 ※5|635|24,518|2.6%
和歌山|273|10,380|2.6%
鳥取 ※3|38|5,729|0.7%
島根 ※5|141|6,212|2.3%
岡山 ※4|261|10,217|2.6%
広島 ※3|658|27,316|2.4%
山口 ※4|213|11,901|1.8%
徳島 ※3|164|7,448|2.2%
香川 ※5|101|13,385|0.8%
愛媛|116|4,353|2.7%
高知|144|3,630|4.0%
※3※4※5 福岡|5,207|162,761|3.2%
佐賀 ※3|254|7,054|3.6%
⾧崎|244|22,202|1.1%
熊本|786|19,224|4.1%
大分|159|20,662|0.8%
宮崎|367|8,784|4.2%
鹿児島|468|22,105|2.1%
沖縄 ※3|3,277|56,978|5.8%
⾧崎船 ※2 その他|149|0|-
合計|98,453|2,406,080|4.1%
