都道府県名|陽性者数 検査人数※3||％
北海道|10,039|171,282|5.9%
青森 ※3|343|7,341|4.7%
※3※4※5 岩手|220|10,219|2.2%
宮城 ※3※5|1,311|20,084|6.5%
秋田|90|3,733|2.4%
山形|177|8,284|2.1%
福島 ※3|541|42,276|1.3%
茨城|1,844|17,532|10.5%
栃木 ※3※5|749|57,242|1.3%
群馬 ※3※5|1,401|39,431|3.6%
埼玉 ※4|9,411|249,360|3.8%
千葉|7,519|174,527|4.3%
東京 ※1|44,003|807,999|5.4%
神奈川|13,704|271,058|5.1%
新潟 ※3※5|359|23,193|1.5%
富山 ※3※5|462|18,028|2.6%
石川 ※3|874|23,296|3.8%
福井 ※3|322|15,745|2.0%
山梨 ※3|422|13,750|3.1%
長野 ※3※5|823|33,920|2.4%
岐阜 ※5|1,260|44,187|2.9%
静岡 ※3※4|1,960|62,660|3.1%
※3※4※5 愛知|11,327|143,080|7.9%
三重 ※3|957|22,079|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|826|29,471|2.8%
京都|2,858|70,273|4.1%
大阪 ※3※5|22,735|353,214|6.4%
※3※4※5 兵庫|6,440|104,516|6.2%
奈良 ※5|1,330|35,844|3.7%
和歌山|507|14,226|3.6%
鳥取 ※3※4|65|18,380|0.4%
島根 ※5|158|7,158|2.2%
岡山 ※4|666|20,802|3.2%
広島 ※3|1,085|39,067|2.8%
山口 ※4|414|19,028|2.2%
徳島 ※3|185|7,934|2.3%
香川 ※5|164|18,221|0.9%
愛媛|349|8,560|4.1%
高知|246|4,151|5.9%
※3※4※5 福岡|6,060|211,871|2.9%
佐賀 ※3|341|10,620|3.2%
長崎|276|28,287|1.0%
熊本|1,094|25,208|4.3%
大分|408|30,204|1.4%
宮崎|566|10,583|5.3%
鹿児島|673|28,667|2.3%
沖縄 ※3|4,585|76,441|6.0%
長崎船 ※2 その他|149|0|-
合計|162,298|3,453,032|4.7%
