都道府県名|陽性者数 検査人数※3||％
北海道|12,495|218,395|5.7%
青森 ※3|403|8,756|4.6%
※3※4※5 岩手|343|13,209|2.6%
宮城 ※3※5|1,831|23,979|7.6%
秋田|104|3,973|2.6%
山形|334|9,710|3.4%
福島 ※3|782|51,674|1.5%
茨城|2,187|18,369|11.9%
栃木 ※3※5|1,106|67,312|1.6%
群馬 ※3※5|2,001|49,380|4.1%
埼玉 ※4|12,215|295,862|4.1%
千葉|9,466|209,691|4.5%
東京 ※1|53,130|934,315|5.7%
神奈川|17,732|326,214|5.4%
新潟 ※3※5|457|26,210|1.7%
富山 ※3※5|507|20,661|2.5%
石川 ※3|980|27,787|3.5%
福井 ※3|338|18,049|1.9%
山梨 ※3|492|14,369|3.4%
長野 ※3※5|1,061|42,671|2.5%
岐阜 ※5|1,839|58,989|3.1%
静岡 ※3※4|2,440|85,933|2.8%
※3※4※5 愛知|14,409|182,125|7.9%
三重 ※3|1,176|26,913|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|969|34,536|2.8%
京都|3,910|84,619|4.6%
大阪 ※3※5|27,812|425,696|6.5%
※3※4※5 兵庫|8,438|125,928|6.7%
奈良 ※5|1,749|44,508|3.9%
和歌山|590|15,944|3.7%
鳥取 ※3※4|74|21,917|0.3%
島根 ※5|186|8,556|2.2%
岡山 ※4|1,159|27,231|4.3%
広島 ※3|2,454|62,654|3.9%
山口 ※4|486|24,734|2.0%
徳島 ※3|194|14,474|1.3%
香川 ※5|231|21,148|1.1%
愛媛|382|10,895|3.5%
高知|573|5,430|10.6%
※3※4※5 福岡|7,547|243,185|3.1%
佐賀 ※3|424|14,049|3.0%
長崎|445|35,880|1.2%
熊本|1,516|31,757|4.8%
大分|587|38,839|1.5%
宮崎|677|11,916|5.7%
鹿児島|890|35,196|2.5%
沖縄 ※3|5,047|84,891|5.9%
長崎船 ※2 その他|149|0|-
合計|204,317|4,158,529|4.9%
