都道府県名|陽性者数 検査人数※3||％
北海道|2,378|65,059|3.7%
青森 ※3|39|2,613|1.5%
※3※4※5 岩手|24|4,676|0.5%
宮城 ※3※5|486|11,525|4.2%
秋田|59|2,336|2.5%
山形|81|5,294|1.5%
福島 ※3|317|23,132|1.4%
茨城|710|12,963|5.5%
栃木 ※3※5|444|33,493|1.3%
群馬 ※3※5|761|24,875|3.1%
埼玉 ※4|5,100|155,260|3.3%
千葉|4,322|106,036|4.1%
東京 ※1|27,793|510,031|5.4%
神奈川|7,537|171,238|4.4%
新潟 ※3※5|179|16,303|1.1%
富山 ※3※5|422|13,428|3.1%
石川 ※3|780|14,400|5.4%
福井 ※3|249|10,203|2.4%
山梨 ※3|197|11,030|1.8%
長野 ※3※5|320|20,176|1.6%
岐阜 ※5|635|24,152|2.6%
静岡 ※3※4|567|37,686|1.5%
※3※4※5 愛知|5,539|84,673|6.5%
三重 ※3|538|14,179|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|515|12,916|4.0%
京都|1,851|46,473|4.0%
大阪 ※3※5|11,180|202,192|5.5%
※3※4※5 兵庫|2,905|61,103|4.8%
奈良 ※5|600|22,343|2.7%
和歌山|249|9,755|2.6%
鳥取 ※3|36|5,535|0.7%
島根 ※5|140|5,932|2.4%
岡山 ※4|163|8,654|1.9%
広島 ※3|642|24,559|2.6%
山口 ※4|209|10,670|2.0%
徳島 ※3|149|7,096|2.1%
香川 ※5|94|11,526|0.8%
愛媛|115|4,189|2.7%
高知|139|3,540|3.9%
※3※4※5 福岡|5,105|144,216|3.5%
佐賀 ※3|248|6,296|3.9%
長崎|241|19,974|1.2%
熊本|690|17,694|3.9%
大分|158|18,143|0.9%
宮崎|344|8,672|4.0%
鹿児島|456|20,585|2.2%
沖縄 ※3|2,754|44,764|6.2%
長崎船 ※2 その他|149|0|-
合計|88,609|2,091,588|4.2%
