都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|364,071|2,278,703|13,278|2|349,328|2,070
青森|57,510|249,807|1,412|0|55,994|104
岩手|35,569|283,293|2,025|0|33,453|91
宮城|88,244|590,230|2,349|0|85,493|198
秋田|30,796|62,430|980|0|29,748|68
山形|28,871|195,471|920|0|27,857|94
福島|64,346|833,109|1,478|0|62,645|223
茨城|160,017|1,343,469|1,553|0|158,025|439
栃木|91,622|754,320|1,516|1|89,832|274
群馬|94,865|649,686|1,742|0|93,069|321
埼玉|554,059|2,854,899|6,003|0|546,436|1,620
千葉|452,286|2,102,896|5,217|1|442,606|1,780
東京|1,550,824|6,928,777|25,718|2|1,520,583|4,523
神奈川|758,842|2,180,686|7,986|9|748,649|2,207
新潟|72,896|656,525|1,796|1|71,009|91
富山|37,795|250,727|1,693|1|36,009|93
石川|56,784|464,795|1,890|1|54,675|196
福井|36,028|328,712|1,061|0|34,922|45
山梨|32,882|336,886|971|0|31,846|68
長野|74,415|731,727|1,660|1|72,534|200
岐阜|103,180|898,590|3,569|0|99,019|340
静岡|172,422|1,257,019|4,532|2|165,976|414
愛知|546,160|2,741,632|12,603|7|531,486|2,071
三重|83,306|528,933|1,905|1|83,081|303
滋賀|91,634|649,668|1,951|0|89,464|219
京都|204,917|839,737|4,145|4|199,750|720
大阪|981,504|7,157,063|17,807|16|958,623|5,074
兵庫|428,106|1,574,484|7,540|3|418,332|2,234
奈良|93,378|519,455|1,721|0|91,270|387
和歌山|42,591|174,300|631|1|41,634|117
鳥取|15,352|403,476|640|0|14,494|20
島根|17,185|216,324|524|0|16,646|15
岡山|99,826|588,609|3,285|2|94,797|248
広島|159,405|1,897,602|6,875|1|152,044|486
山口|45,754|578,248|1,927|0|43,650|177
徳島|22,624|216,732|699|0|21,842|85
香川|48,865|279,122|1,250|0|47,488|127
愛媛|40,483|366,216|1,515|1|38,829|139
高知|28,080|290,944|949|1|27,018|113
福岡|430,319|2,707,854|9,593|3|413,238|1,261
佐賀|52,919|280,571|1,214|0|49,257|106
長崎|59,687|389,166|2,824|0|57,256|124
熊本|99,535|285,061|3,813|2|95,429|293
大分|55,086|593,344|1,610|0|53,315|161
宮崎|54,246|191,858|2,246|0|51,932|143
鹿児島|84,892|420,642|3,218|2|81,156|200
沖縄|222,008|860,010|10,882|10|210,593|462
その他（その他）|149|0|0|0|149|0
合計|8,926,335|50,983,808|190,716|75|8,692,481|30,744
