都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|357,866|2,246,417|18,802|6|337,573|2,062
青森|56,354|245,576|1,980|0|54,270|104
岩手|34,581|278,652|2,392|0|32,099|90
宮城|86,566|580,032|3,214|0|83,007|197
秋田|30,300|62,198|1,311|0|28,922|67
山形|28,377|194,278|1,732|0|26,551|94
福島|63,299|824,753|2,410|0|60,667|222
茨城|158,567|1,240,444|2,388|2|155,741|438
栃木|90,739|748,244|2,043|1|88,423|273
群馬|94,120|642,687|2,361|1|91,440|319
埼玉|549,778|2,826,433|8,113|0|540,067|1,598
千葉|449,042|2,076,474|6,831|4|435,965|1,777
東京|1,538,037|6,847,166|31,625|4|1,501,916|4,496
神奈川|752,806|2,180,686|11,359|9|739,249|2,198
新潟|71,660|649,399|2,596|1|68,973|91
富山|37,187|248,002|2,106|1|34,988|93
石川|55,607|448,409|3,139|1|52,250|195
福井|35,147|324,211|1,603|0|33,499|45
山梨|32,415|327,859|1,030|0|31,322|68
長野|73,148|721,439|2,320|1|70,609|193
岐阜|100,578|882,581|4,109|0|95,882|336
静岡|169,519|1,242,572|6,300|1|162,679|409
愛知|538,631|2,710,095|16,627|5|519,942|2,062
三重|81,886|518,286|2,493|0|81,048|301
滋賀|90,460|642,552|2,444|0|87,797|219
京都|203,032|830,505|6,264|9|195,832|716
大阪|971,507|7,072,813|24,244|20|942,222|5,041
兵庫|423,346|1,559,290|10,468|4|410,647|2,232
奈良|92,450|514,758|3,157|0|88,907|386
和歌山|42,015|172,710|969|0|40,720|117
鳥取|14,997|394,588|793|0|13,987|20
島根|16,849|210,439|697|0|16,137|15
岡山|97,758|579,695|4,564|1|90,421|247
広島|156,250|1,858,559|9,337|0|146,428|485
山口|44,427|567,065|2,268|1|41,983|176
徳島|22,067|212,929|770|0|21,218|83
香川|47,959|274,738|1,905|0|45,930|124
愛媛|39,352|358,985|1,553|2|37,660|139
高知|27,455|290,944|1,495|0|25,847|113
福岡|424,126|2,673,740|13,148|3|403,552|1,253
佐賀|52,198|275,881|1,806|0|47,892|105
長崎|58,241|379,553|3,122|1|55,024|124
熊本|97,801|281,190|4,569|3|92,941|291
大分|53,782|582,439|2,197|0|51,425|160
宮崎|52,601|190,415|2,989|0|49,547|142
鹿児島|82,302|412,373|3,895|0|77,990|198
沖縄|213,780|846,212|12,466|12|200,815|460
その他（その他）|149|0|0|0|149|0
合計|8,811,114|50,249,266|254,004|93|8,512,153|30,574
