都道府県名|陽性者数 検査人数※3||％
北海道|2,491|68,951|3.6%
青森 ※3|100|3,045|3.3%
※3※4※5 岩手|26|4,874|0.5%
宮城 ※3※5|522|12,197|4.3%
秋田|59|2,361|2.5%
山形|81|5,335|1.5%
福島 ※3|359|24,626|1.5%
茨城|725|13,174|5.5%
栃木 ※3※5|463|34,330|1.3%
群馬 ※3※5|769|26,309|2.9%
埼玉 ※4|5,331|163,276|3.3%
千葉|4,505|110,818|4.1%
東京 ※1|28,839|535,672|5.4%
神奈川|7,893|178,657|4.4%
新潟 ※3※5|180|16,836|1.1%
富山 ※3※5|423|13,903|3.0%
石川 ※3|793|15,311|5.2%
福井 ※3|254|10,331|2.5%
山梨 ※3|199|11,173|1.8%
長野 ※3※5|326|20,863|1.6%
岐阜 ※5|642|24,976|2.6%
静岡 ※3※4|575|39,100|1.5%
※3※4※5 愛知|5,636|88,536|6.4%
三重 ※3|549|14,646|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|522|13,286|3.9%
京都|1,907|48,126|4.0%
大阪 ※3※5|11,464|211,968|5.4%
※3※4※5 兵庫|2,978|63,270|4.7%
奈良 ※5|613|23,057|2.7%
和歌山|255|9,917|2.6%
鳥取 ※3|36|5,548|0.6%
島根 ※5|140|6,017|2.3%
岡山 ※4|172|8,654|2.0%
広島 ※3|649|25,370|2.6%
山口 ※4|209|10,853|1.9%
徳島 ※3|158|7,162|2.2%
香川 ※5|98|12,344|0.8%
愛媛|116|4,240|2.7%
高知|140|3,575|3.9%
※3※4※5 福岡|5,139|150,417|3.4%
佐賀 ※3|252|6,495|3.9%
長崎|241|20,708|1.2%
熊本|740|18,369|4.0%
大分|159|19,186|0.8%
宮崎|366|8,703|4.2%
鹿児島|462|21,290|2.2%
沖縄 ※3|2,855|46,732|6.1%
長崎船 ※2 その他|149|0|-
合計|91,560|2,184,587|4.2%
