都道府県名|陽性者数 検査人数※3||％
北海道|9,669|164,174|5.9%
青森 ※3|324|7,172|4.5%
※3※4※5 岩手|220|10,109|2.2%
宮城 ※3※5|1,272|19,587|6.5%
秋田|90|3,689|2.4%
山形|158|7,934|2.0%
福島 ※3|528|41,506|1.3%
茨城|1,808|17,334|10.4%
栃木 ※3※5|732|56,515|1.3%
群馬 ※3※5|1,371|39,174|3.5%
埼玉 ※4|9,159|244,778|3.7%
千葉|7,388|171,596|4.3%
東京 ※1|43,377|797,901|5.4%
神奈川|13,505|265,968|5.1%
新潟 ※3※5|354|23,160|1.5%
富山 ※3※5|461|17,786|2.6%
石川 ※3|867|23,222|3.7%
福井 ※3|321|15,611|2.1%
山梨 ※3|381|13,645|2.8%
長野 ※3※5|786|33,056|2.4%
岐阜 ※5|1,227|43,695|2.8%
静岡 ※3※4|1,827|61,478|3.0%
※3※4※5 愛知|10,938|143,080|7.6%
三重 ※3|940|22,079|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|814|29,103|2.8%
京都|2,736|68,469|4.0%
大阪 ※3※5|22,197|347,916|6.4%
※3※4※5 兵庫|6,169|102,264|6.0%
奈良 ※5|1,291|35,104|3.7%
和歌山|490|13,948|3.5%
鳥取 ※3※4|61|18,010|0.3%
島根 ※5|153|7,158|2.1%
岡山 ※4|645|20,802|3.1%
広島 ※3|1,023|35,884|2.9%
山口 ※4|409|19,028|2.1%
徳島 ※3|185|7,906|2.3%
香川 ※5|159|18,005|0.9%
愛媛|341|8,364|4.1%
高知|215|3,998|5.4%
※3※4※5 福岡|5,977|210,049|2.8%
佐賀 ※3|336|10,424|3.2%
長崎|273|28,117|1.0%
熊本|1,079|24,904|4.3%
大分|378|30,004|1.3%
宮崎|545|10,314|5.3%
鹿児島|637|28,192|2.3%
沖縄 ※3|4,535|75,471|6.0%
長崎船 ※2 その他|149|0|-
合計|158,500|3,397,683|4.7%
