都道府県名|陽性者数 検査人数※3||％
北海道|9,457|160,918|5.9%
青森 ※3|321|7,043|4.6%
※3※4※5 岩手|213|9,972|2.1%
宮城 ※3※5|1,251|19,428|6.4%
秋田|90|3,689|2.4%
山形|152|7,773|2.0%
福島 ※3|515|41,257|1.2%
茨城|1,777|17,334|10.3%
栃木 ※3※5|719|56,302|1.3%
群馬 ※3※5|1,341|38,912|3.4%
埼玉 ※4|8,992|243,953|3.7%
千葉|7,314|171,116|4.3%
東京 ※1|42,793|792,109|5.4%
神奈川|13,314|265,968|5.0%
新潟 ※3※5|350|23,018|1.5%
富山 ※3※5|461|17,786|2.6%
石川 ※3|864|23,036|3.8%
福井 ※3|321|15,547|2.1%
山梨 ※3|381|13,645|2.8%
長野 ※3※5|774|33,056|2.3%
岐阜 ※5|1,195|42,775|2.8%
静岡 ※3※4|1,827|61,478|3.0%
※3※4※5 愛知|10,723|143,080|7.5%
三重 ※3|927|22,079|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|808|28,886|2.8%
京都|2,736|68,469|4.0%
大阪 ※3※5|21,798|343,630|6.3%
※3※4※5 兵庫|6,040|101,093|6.0%
奈良 ※5|1,264|35,104|3.6%
和歌山|485|13,881|3.5%
鳥取 ※3※4|61|17,971|0.3%
島根 ※5|152|7,158|2.1%
岡山 ※4|634|20,802|3.0%
広島 ※3|943|35,884|2.6%
山口 ※4|406|19,028|2.1%
徳島 ※3|184|7,871|2.3%
香川 ※5|155|17,876|0.9%
愛媛|339|8,264|4.1%
高知|196|3,919|5.0%
※3※4※5 福岡|5,977|208,176|2.9%
佐賀 ※3|333|10,295|3.2%
長崎|273|27,929|1.0%
熊本|1,063|24,757|4.3%
大分|360|29,579|1.2%
宮崎|534|10,314|5.2%
鹿児島|637|28,192|2.3%
沖縄 ※3|4,494|75,018|6.0%
長崎船 ※2 その他|149|0|-
合計|156,093|3,375,370|4.6%
