都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|49,186|910,202|3,518|15|44,043|1,430
青森|3,129|61,045|365|0|2,732|32
岩手|2,386|99,236|315|1|2,023|48
宮城|11,432|183,261|1,241|12|10,016|92
秋田|1,174|18,445|127|3|1,026|21
山形|2,528|75,521|288|7|2,193|47
福島|7,177|335,383|1,033|13|5,982|162
茨城|15,964|35,770|2,188|29|13,601|175
栃木|10,216|367,216|1,719|18|8,403|94
群馬|10,802|229,987|1,491|20|9,156|155
埼玉|74,669|1,175,904|20,587|113|53,224|858
千葉|62,578|851,088|9,748|70|52,076|754
東京|274,837|3,005,674|40,906|245|231,599|2,332
神奈川|108,497|1,269,861|14,582|191|92,894|1,021
新潟|5,085|212,809|908|5|4,123|54
富山|2,889|88,265|490|6|2,361|38
石川|6,189|147,701|763|10|5,296|120
福井|1,983|87,300|229|2|1,718|36
山梨|3,057|80,996|477|2|2,560|22
長野|6,136|241,613|554|3|5,509|94
岐阜|10,773|311,513|774|4|9,810|189
静岡|13,692|483,975|2,468|14|11,066|158
愛知|58,961|964,765|4,392|26|53,553|1,016
三重|6,927|170,386|1,037|12|5,940|116
滋賀|7,498|183,482|1,180|4|6,223|95
京都|22,170|333,346|3,116|73|18,427|249
大阪|130,683|2,647,766|13,151|431|113,516|2,742
兵庫|49,730|588,824|3,992|40|44,415|1,323
奈良|10,339|197,848|971|14|9,234|134
和歌山|3,424|48,672|238|13|3,057|50
鳥取|1,078|108,754|320|0|742|3
島根|903|38,671|115|1|786|2
岡山|9,806|197,807|863|7|8,233|127
広島|13,441|621,567|788|8|12,259|180
山口|3,730|136,504|365|2|3,285|80
徳島|1,923|76,778|98|1|1,762|63
香川|2,936|101,028|536|7|2,370|32
愛媛|3,528|114,510|524|5|2,927|77
高知|2,288|67,267|144|4|2,114|30
福岡|49,120|991,143|7,616|24|40,069|548
佐賀|3,399|71,496|405|0|2,858|26
長崎|4,094|144,705|522|1|3,505|69
熊本|8,751|93,246|1,192|8|7,438|121
大分|4,336|199,905|530|1|3,742|64
宮崎|3,706|50,655|391|1|3,289|27
鹿児島|5,153|128,178|840|0|4,149|42
沖縄|32,248|309,884|5,529|97|26,334|245
（その他）|149|-|0|-|149|-
合計|1,124,700|18,859,952|153,626|1,563|951,787|15,393
