都道府県名|陽性者数 検査人数※3||％
北海道|10,982|187,131|5.9%
青森 ※3|371|7,999|4.6%
※3※4※5 岩手|295|10,849|2.7%
宮城 ※3※5|1,462|21,379|6.8%
秋田|92|3,746|2.5%
山形|240|9,006|2.7%
福島 ※3|599|44,921|1.3%
茨城|1,973|17,774|11.1%
栃木 ※3※5|860|61,643|1.4%
群馬 ※3※5|1,612|42,655|3.8%
埼玉 ※4|10,297|261,321|3.9%
千葉|8,078|190,090|4.2%
東京 ※1|46,745|847,224|5.5%
神奈川|14,822|281,819|5.3%
新潟 ※3※5|390|24,380|1.6%
富山 ※3※5|464|18,804|2.5%
石川 ※3|907|24,908|3.6%
福井 ※3|331|16,582|2.0%
山梨 ※3|440|14,073|3.1%
長野 ※3※5|941|35,844|2.6%
岐阜 ※5|1,461|50,260|2.9%
静岡 ※3※4|2,087|67,934|3.1%
※3※4※5 愛知|12,319|152,984|8.1%
三重 ※3|1,042|24,205|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|857|30,905|2.8%
京都|3,076|73,836|4.2%
大阪 ※3※5|24,621|376,794|6.5%
※3※4※5 兵庫|7,091|111,465|6.4%
奈良 ※5|1,465|38,382|3.8%
和歌山|551|14,814|3.7%
鳥取 ※3※4|67|19,468|0.3%
島根 ※5|165|7,659|2.2%
岡山 ※4|702|24,136|2.9%
広島 ※3|1,436|43,500|3.3%
山口 ※4|433|22,347|1.9%
徳島 ※3|187|13,839|1.4%
香川 ※5|199|19,231|1.0%
愛媛|358|9,691|3.7%
高知|339|4,577|7.4%
※3※4※5 福岡|6,551|223,229|2.9%
佐賀 ※3|378|11,599|3.3%
長崎|290|29,630|1.0%
熊本|1,210|27,774|4.4%
大分|508|33,687|1.5%
宮崎|584|10,923|5.3%
鹿児島|796|30,031|2.7%
沖縄 ※3|4,785|79,250|6.0%
長崎船 ※2 その他|149|0|-
合計|175,608|3,674,298|4.8%
