都道府県名|陽性者数 検査人数※3||％
北海道|2,703|74,331|3.6%
青森 ※3|170|3,886|4.4%
※3※4※5 岩手|27|5,134|0.5%
宮城 ※3※5|565|12,939|4.4%
秋田|61|2,448|2.5%
山形|84|5,761|1.5%
福島 ※3|385|27,233|1.4%
茨城|739|13,525|5.5%
栃木 ※3※5|476|35,132|1.4%
群馬 ※3※5|858|27,724|3.1%
埼玉 ※4|5,602|174,144|3.2%
千葉|4,775|119,627|4.0%
東京 ※1|29,909|567,880|5.3%
神奈川|8,308|187,119|4.4%
新潟 ※3※5|181|17,321|1.0%
富山 ※3※5|422|14,261|3.0%
石川 ※3|798|16,210|4.9%
福井 ※3|256|10,775|2.4%
山梨 ※3|203|11,373|1.8%
長野 ※3※5|330|22,077|1.5%
岐阜 ※5|671|26,049|2.6%
静岡 ※3※4|588|40,885|1.4%
※3※4※5 愛知|5,811|93,063|6.2%
三重 ※3|555|15,384|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|537|13,710|3.9%
京都|1,958|50,753|3.9%
大阪 ※3※5|11,976|223,402|5.4%
※3※4※5 兵庫|3,078|65,855|4.7%
奈良 ※5|625|23,806|2.6%
和歌山|270|10,207|2.6%
鳥取 ※3|35|5,582|0.6%
島根 ※5|140|6,122|2.3%
岡山 ※4|194|10,217|1.9%
広島 ※3|654|26,568|2.5%
山口 ※4|213|11,451|1.9%
徳島 ※3|164|7,390|2.2%
香川 ※5|101|12,950|0.8%
愛媛|116|4,293|2.7%
高知|140|3,604|3.9%
※3※4※5 福岡|5,179|157,690|3.3%
佐賀 ※3|254|6,897|3.7%
長崎|242|21,532|1.1%
熊本|768|19,032|4.0%
大分|159|20,094|0.8%
宮崎|366|8,741|4.2%
鹿児島|463|21,698|2.1%
沖縄 ※3|3,134|52,894|5.9%
長崎船 ※2 その他|149|0|-
合計|95,392|2,308,769|4.1%
