都道府県名|陽性者数 検査人数※3||％
北海道|3,447|87,181|4.0%
青森 ※3|264|5,536|4.8%
※3※4※5 岩手|29|5,546|0.5%
宮城 ※3※5|804|14,655|5.5%
秋田|67|2,613|2.6%
山形|86|6,560|1.3%
福島 ※3|401|30,204|1.3%
茨城|789|14,094|5.6%
栃木 ※3※5|494|44,211|1.1%
群馬 ※3※5|913|30,057|3.0%
埼玉 ※4|6,018|191,061|3.1%
千葉|5,207|132,362|3.9%
東京 ※1|31,893|619,099|5.2%
神奈川|9,021|206,810|4.4%
新潟 ※3※5|185|18,101|1.0%
富山 ※3※5|424|14,742|2.9%
石川 ※3|815|18,104|4.5%
福井 ※3|257|11,175|2.3%
山梨 ※3|221|11,897|1.9%
長野 ※3※5|350|23,957|1.5%
岐阜 ※5|710|27,497|2.6%
静岡 ※3※4|690|44,359|1.6%
※3※4※5 愛知|6,457|103,369|6.2%
三重 ※3|575|15,683|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|584|14,575|4.0%
京都|2,090|54,018|3.9%
大阪 ※3※5|13,316|245,639|5.4%
※3※4※5 兵庫|3,363|70,648|4.8%
奈良 ※5|694|25,498|2.7%
和歌山|280|10,540|2.7%
鳥取 ※3|38|5,786|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|315|11,198|2.8%
広島 ※3|665|28,303|2.3%
山口 ※4|223|11,960|1.9%
徳島 ※3|164|7,525|2.2%
香川 ※5|103|13,845|0.7%
愛媛|116|4,419|2.6%
高知|144|3,661|3.9%
※3※4※5 福岡|5,251|168,839|3.1%
佐賀 ※3|266|7,429|3.6%
長崎|245|23,180|1.1%
熊本|824|19,986|4.1%
大分|159|21,490|0.7%
宮崎|371|8,803|4.2%
鹿児島|505|23,128|2.2%
沖縄 ※3|3,435|60,235|5.7%
長崎船 ※2 その他|149|0|-
合計|103,558|2,525,859|4.1%
