都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|385,433|2,404,932|5,065|1|377,993|2,097
青森|64,071|269,631|2,099|0|61,857|115
岩手|38,709|303,697|899|0|37,713|97
宮城|95,642|635,069|1,798|1|93,154|201
秋田|32,368|64,024|387|0|31,909|72
山形|31,046|202,700|833|0|30,116|97
福島|67,438|883,639|985|0|66,226|227
茨城|166,641|1,380,150|1,688|0|164,505|448
栃木|95,015|782,068|1,320|0|93,417|278
群馬|99,498|685,565|1,580|0|97,597|323
埼玉|577,307|2,996,190|11,034|3|564,608|1,665
千葉|470,935|2,240,725|6,982|2|460,494|1,800
東京|1,626,196|7,316,751|39,229|8|1,582,382|4,585
神奈川|792,262|3,152,340|14,495|9|775,528|2,239
新潟|76,731|697,554|1,261|0|75,379|91
富山|40,933|266,186|1,407|0|39,430|96
石川|61,125|518,714|1,306|1|59,598|198
福井|39,826|346,574|923|0|38,857|46
山梨|34,957|367,347|595|0|34,299|68
長野|78,748|781,115|1,183|0|77,305|205
岐阜|111,194|954,721|2,502|1|107,744|348
静岡|182,031|1,336,708|3,875|0|177,251|421
愛知|576,277|2,942,225|11,621|2|562,556|2,100
三重|89,270|565,118|2,484|1|88,547|313
滋賀|96,911|689,086|2,031|0|94,659|221
京都|215,772|879,726|4,493|10|209,519|751
大阪|1,031,159|7,546,891|24,514|4|1,001,429|5,216
兵庫|449,427|1,661,360|7,923|3|439,252|2,252
奈良|97,450|548,406|1,738|3|95,320|392
和歌山|45,972|183,542|1,413|0|44,228|118
鳥取|17,225|431,593|999|0|15,993|20
島根|22,533|234,585|3,981|0|18,535|17
岡山|105,886|624,097|1,210|1|102,840|252
広島|171,004|2,003,045|3,593|3|166,916|495
山口|50,488|619,372|1,774|0|48,533|181
徳島|25,006|231,774|664|0|24,261|85
香川|51,639|295,022|1,003|0|50,508|128
愛媛|46,868|394,059|2,993|1|43,732|143
高知|31,515|323,703|1,230|1|30,169|116
福岡|457,979|2,868,097|9,892|1|438,946|1,279
佐賀|59,702|301,126|2,641|0|53,700|110
長崎|68,244|448,734|3,173|0|64,954|126
熊本|117,321|309,250|6,747|2|110,266|308
大分|60,192|634,244|2,508|0|57,519|165
宮崎|60,534|195,686|2,558|0|57,744|147
鹿児島|96,892|450,538|3,624|0|92,230|212
沖縄|263,168|939,287|13,920|9|248,693|491
その他（その他）|149|0|0|0|149|0
合計|9,476,689|54,906,966|220,173|67|9,208,560|31,355
