都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|60,694|1,147,447|167|1|59,049|1,470
青森|5,887|92,940|44|1|5,805|38
岩手|3,486|124,658|0|0|3,433|53
宮城|16,255|245,968|9|1|16,128|118
秋田|1,899|26,800|3|0|1,869|27
山形|3,544|101,409|20|0|3,468|56
福島|9,482|422,500|8|2|9,299|175
茨城|24,384|40,462|46|4|24,120|218
栃木|15,437|492,783|32|1|15,289|116
群馬|16,741|306,497|48|2|16,517|176
埼玉|115,533|1,497,236|210|22|114,287|1,036
千葉|100,256|1,107,278|112|5|99,120|1,022
東京|377,418|3,763,468|572|22|373,729|3,117
神奈川|168,823|1,646,760|221|8|167,296|1,306
新潟|7,979|294,785|18|0|7,900|61
富山|4,857|118,233|13|1|4,793|51
石川|7,955|199,321|26|1|7,778|129
福井|3,104|119,044|6|0|3,061|37
山梨|5,150|118,971|6|0|5,115|29
長野|8,853|327,089|26|0|8,786|96
岐阜|19,072|422,215|74|3|18,776|217
静岡|26,737|640,189|28|0|26,488|209
愛知|106,213|1,349,159|270|5|104,788|1,155
三重|14,765|241,279|34|1|14,891|163
滋賀|12,386|263,368|50|0|12,233|103
京都|35,845|432,888|57|1|35,484|290
大阪|202,117|3,645,784|676|86|196,905|3,040
兵庫|78,297|771,656|239|11|76,664|1,394
奈良|15,845|256,528|58|2|15,643|149
和歌山|5,288|66,166|4|1|5,117|62
鳥取|1,662|151,880|6|0|1,626|5
島根|1,674|56,768|35|0|1,634|5
岡山|15,253|268,198|58|2|15,049|136
広島|22,002|920,484|108|2|21,694|200
山口|5,710|192,183|37|0|5,580|93
徳島|3,284|106,730|6|0|3,213|65
香川|4,702|132,683|9|0|4,655|38
愛媛|5,343|157,406|50|1|5,211|82
高知|4,156|100,635|24|1|4,100|32
福岡|74,370|1,289,023|186|7|73,559|621
佐賀|5,845|107,335|30|0|5,830|30
長崎|6,097|184,815|41|0|5,983|73
熊本|14,384|123,942|40|1|14,208|136
大分|8,186|273,441|10|0|8,092|84
宮崎|6,151|73,027|6|0|6,088|41
鹿児島|9,097|170,271|11|0|9,021|65
沖縄|50,162|404,871|183|7|49,582|372
その他（その他）|149|0|0|0|149|0
合計|1,712,529|24,996,573|3,917|202|1,689,105|18,191
