都道府県名|陽性者数 検査人数※3||％
北海道|3,372|85,892|3.9%
青森 ※3|256|5,350|4.8%
※3※4※5 岩手|29|5,410|0.5%
宮城 ※3※5|788|14,577|5.4%
秋田|64|2,585|2.5%
山形|86|6,330|1.4%
福島 ※3|401|29,997|1.3%
茨城|779|14,025|5.6%
栃木 ※3※5|493|44,009|1.1%
群馬 ※3※5|910|29,852|3.0%
埼玉 ※4|5,986|189,663|3.2%
千葉|5,149|128,861|4.0%
東京 ※1|31,624|607,855|5.2%
神奈川|8,912|205,488|4.3%
新潟 ※3※5|184|18,006|1.0%
富山 ※3※5|423|14,656|2.9%
石川 ※3|813|17,770|4.6%
福井 ※3|257|11,164|2.3%
山梨 ※3|218|11,867|1.8%
⾧野 ※3※5|350|23,785|1.5%
岐阜 ※5|700|27,237|2.6%
静岡 ※3※4|680|44,121|1.5%
※3※4※5 愛知|6,404|102,238|6.3%
三重 ※3|574|15,683|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|563|14,528|3.9%
京都|2,081|53,884|3.9%
大阪 ※3※5|13,191|242,761|5.4%
※3※4※5 兵庫|3,327|70,081|4.7%
奈良 ※5|679|25,178|2.7%
和歌山|278|10,513|2.6%
鳥取 ※3|38|5,784|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|309|11,198|2.8%
広島 ※3|663|28,179|2.4%
山口 ※4|215|11,960|1.8%
徳島 ※3|164|7,520|2.2%
香川 ※5|102|13,732|0.7%
愛媛|116|4,406|2.6%
高知|144|3,651|3.9%
※3※4※5 福岡|5,246|167,340|3.1%
佐賀 ※3|266|7,350|3.6%
⾧崎|245|23,010|1.1%
熊本|824|19,986|4.1%
大分|159|21,275|0.7%
宮崎|371|8,803|4.2%
鹿児島|488|22,896|2.1%
沖縄 ※3|3,408|59,589|5.7%
⾧崎船 ※2 その他|149|0|-
合計|102,619|2,496,326|4.1%
