都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|329,440|2,151,576|26,200|6|301,250|2,023
青森|52,374|234,278|2,641|0|49,632|101
岩手|31,373|265,243|2,917|0|28,370|86
宮城|80,391|549,055|3,825|4|75,947|193
秋田|28,294|59,875|2,559|0|25,670|65
山形|25,962|188,466|2,069|1|23,803|90
福島|58,475|784,605|5,091|1|53,168|216
茨城|151,912|1,240,444|3,696|2|147,783|433
栃木|86,571|731,350|4,267|1|82,035|269
群馬|89,060|617,487|3,423|0|86,067|313
埼玉|533,079|2,739,794|12,397|2|519,160|1,522
千葉|436,397|2,013,565|8,748|6|420,103|1,764
東京|1,491,783|6,644,779|53,146|4|1,434,237|4,400
神奈川|728,435|2,180,686|14,936|16|711,337|2,162
新潟|66,568|618,245|3,971|0|62,506|91
富山|34,604|236,369|2,052|0|32,459|93
石川|49,478|416,156|4,226|3|45,036|193
福井|31,127|309,781|1,813|0|29,269|45
山梨|30,266|307,635|1,007|0|29,195|68
長野|67,762|686,297|3,319|0|64,105|186
岐阜|92,806|842,210|4,700|2|87,349|324
静岡|157,688|1,186,602|8,134|0|147,622|404
愛知|509,448|2,596,316|18,933|5|488,479|2,036
三重|76,748|495,104|3,601|0|74,701|287
滋賀|85,601|613,099|3,110|0|82,274|217
京都|192,174|800,498|8,195|13|182,372|706
大阪|935,325|6,853,266|30,027|20|900,309|4,989
兵庫|403,583|1,510,376|12,130|9|389,238|2,215
奈良|88,839|495,106|4,313|1|84,144|382
和歌山|39,275|165,419|1,775|0|37,177|117
鳥取|13,573|372,017|976|0|12,397|16
島根|15,577|193,988|1,263|0|14,299|15
岡山|89,640|552,358|4,676|1|81,134|243
広島|140,852|1,777,041|11,084|2|129,292|476
山口|40,224|543,637|2,566|2|37,483|175
徳島|20,309|203,262|1,086|0|19,154|80
香川|43,938|261,947|3,126|0|40,689|123
愛媛|36,450|343,959|2,021|3|34,292|137
高知|24,599|256,889|2,170|0|22,321|108
福岡|399,079|2,569,581|16,641|5|374,165|1,237
佐賀|48,992|262,616|2,796|0|43,609|105
長崎|50,237|354,153|4,169|0|48,634|124
熊本|88,745|269,307|4,450|8|84,009|286
大分|49,000|558,030|2,962|1|45,881|157
宮崎|46,638|184,517|4,424|3|42,151|139
鹿児島|73,983|389,136|5,258|1|67,939|187
沖縄|188,480|789,222|17,640|12|170,389|455
その他（その他）|149|0|0|0|149|0
合計|8,355,303|48,415,342|344,529|134|7,962,784|30,053
