都道府県名|陽性者数 検査人数※3||％
北海道|12,715|224,416|5.7%
青森 ※3|414|8,969|4.6%
※3※4※5 岩手|353|13,489|2.6%
宮城 ※3※5|1,930|23,979|8.0%
秋田|113|4,020|2.8%
山形|355|9,902|3.6%
福島 ※3|844|53,517|1.6%
茨城|2,253|18,432|12.2%
栃木 ※3※5|1,165|68,950|1.7%
群馬 ※3※5|2,097|50,358|4.2%
埼玉 ※4|12,764|302,203|4.2%
千葉|9,912|217,693|4.6%
東京 ※1|54,902|953,469|5.8%
神奈川|18,693|334,987|5.6%
新潟 ※3※5|486|26,876|1.8%
富山 ※3※5|532|21,295|2.5%
石川 ※3|1,010|28,493|3.5%
福井 ※3|343|18,435|1.9%
山梨 ※3|509|14,417|3.5%
⾧野 ※3※5|1,088|45,163|2.4%
岐阜 ※5|1,933|61,190|3.2%
静岡 ※3※4|2,513|88,334|2.8%
※3※4※5 愛知|14,918|191,017|7.8%
三重 ※3|1,198|29,023|4.1%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,013|35,521|2.9%
京都|4,105|87,310|4.7%
大阪 ※3※5|28,395|436,421|6.5%
※3※4※5 兵庫|8,757|129,557|6.8%
奈良 ※5|1,812|46,358|3.9%
和歌山|591|16,086|3.7%
鳥取 ※3※4|79|23,024|0.3%
島根 ※5|190|9,344|2.0%
岡山 ※4|1,217|31,723|3.8%
広島 ※3|2,680|65,962|4.1%
山口 ※4|503|26,760|1.9%
徳島 ※3|195|14,665|1.3%
香川 ※5|265|22,320|1.2%
愛媛|398|12,026|3.3%
高知|604|5,592|10.8%
※3※4※5 福岡|7,852|252,163|3.1%
佐賀 ※3|439|14,468|3.0%
⾧崎|457|37,041|1.2%
熊本|1,613|32,961|4.9%
大分|603|40,026|1.5%
宮崎|695|12,114|5.7%
鹿児島|920|36,020|2.6%
沖縄 ※3|5,133|86,213|6.0%
⾧崎船 ※2 その他|149|0|-
合計|211,705|4,282,302|4.9%
