都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|364,719|2,282,148|12,672|2|350,681|2,070
青森|57,620|250,486|1,359|0|56,157|104
岩手|35,627|283,562|1,879|0|33,656|92
宮城|88,367|591,646|2,207|0|85,839|198
秋田|30,831|62,572|870|0|29,893|68
山形|28,908|196,003|919|0|27,895|94
福島|64,211|837,539|1,354|1|62,634|223
茨城|160,211|1,343,469|1,486|0|158,286|439
栃木|91,703|754,701|1,333|1|90,096|274
群馬|95,202|651,834|1,602|1|93,279|321
埼玉|554,448|2,859,417|5,585|0|547,240|1,623
千葉|452,552|2,102,896|5,217|1|442,606|1,780
東京|1,551,837|6,943,655|23,872|2|1,523,442|4,523
神奈川|759,588|2,180,686|7,424|7|749,957|2,207
新潟|72,983|659,537|1,608|1|71,284|91
富山|37,833|251,838|1,546|1|36,194|93
石川|56,970|465,188|1,814|1|54,937|196
福井|36,182|329,101|1,053|0|35,084|45
山梨|33,099|336,886|753|0|32,281|68
長野|74,509|734,498|1,511|1|72,781|200
岐阜|103,368|899,127|3,304|0|99,535|341
静岡|172,616|1,261,033|4,054|2|168,103|415
愛知|547,069|2,756,397|11,696|8|533,302|2,071
三重|83,379|528,933|1,753|1|83,306|305
滋賀|91,704|650,691|1,821|0|89,664|219
京都|205,076|840,090|3,763|5|200,434|720
大阪|981,965|7,166,898|16,748|15|960,138|5,079
兵庫|428,718|1,576,726|7,182|2|419,302|2,234
奈良|93,491|521,557|1,657|0|91,447|387
和歌山|42,639|174,493|619|1|41,694|117
鳥取|15,387|403,891|575|0|14,594|20
島根|17,210|216,324|472|0|16,723|15
岡山|99,991|588,609|3,285|2|94,797|248
広島|159,845|1,897,602|6,739|1|152,620|486
山口|45,867|578,248|1,806|0|43,884|177
徳島|22,671|216,992|685|0|21,903|85
香川|48,920|279,487|1,119|0|47,674|127
愛媛|40,557|366,323|1,427|1|38,991|139
高知|28,146|298,252|870|1|27,163|113
福岡|430,876|2,710,868|8,936|4|414,701|1,261
佐賀|53,018|280,789|1,117|0|49,432|106
長崎|60,288|394,346|2,714|0|57,456|124
熊本|100,282|285,400|3,529|2|96,459|294
大分|55,177|593,380|1,488|1|53,528|161
宮崎|54,357|192,065|2,064|0|52,224|144
鹿児島|85,064|421,177|3,113|2|81,577|202
沖縄|222,443|862,370|9,995|9|211,885|466
その他（その他）|149|0|0|0|149|0
合計|8,937,673|51,079,730|178,595|76|8,716,907|30,765
