都道府県名|陽性者数 検査人数||％
北海道|17,933|332,943|5.4%
青森|738|15,398|4.8%
岩手|511|20,830|2.5%
宮城|3,452|48,905|7.1%
秋田|269|6,756|4.0%
山形|519|15,731|3.3%
福島|1,768|90,177|2.0%
茨城|5,034|23,780|21.2%
栃木|3,854|111,852|3.4%
群馬|4,065|78,856|5.2%
埼玉|26,318|476,181|5.5%
千葉|23,389|340,657|6.9%
東京|102,777|1,366,439|7.5%
神奈川|41,916|520,223|8.1%
新潟|943|37,723|2.5%
富山|878|32,299|2.7%
石川|1,519|42,628|3.6%
福井|519|27,853|1.9%
山梨|908|14,741|6.2%
長野|2,328|86,509|2.7%
岐阜|4,384|109,874|4.0%
静岡|4,708|154,697|3.0%
愛知|24,417|333,828|7.3%
三重|2,298|52,085|4.4%
都道府県名|陽性者数 検査人数||％
滋賀|2,215|61,174|3.6%
京都|8,651|137,085|6.3%
大阪|44,771|676,190|6.6%
兵庫|16,893|211,439|8.0%
奈良|3,166|72,095|4.4%
和歌山|1,098|22,395|4.9%
鳥取|206|35,979|0.6%
島根|274|13,515|2.0%
岡山|2,380|55,878|4.3%
広島|4,863|120,841|4.0%
山口|1,283|49,814|2.6%
徳島|392|22,726|1.7%
香川|684|39,329|1.7%
愛媛|1,004|27,572|3.6%
高知|855|6,953|12.3%
福岡|16,434|384,982|4.3%
佐賀|976|24,890|3.9%
長崎|1,543|59,516|2.6%
熊本|3,372|54,690|6.2%
大分|1,215|67,302|1.8%
宮崎|1,879|24,027|7.8%
鹿児島|1,640|58,166|2.8%
沖縄|7,790|131,009|5.9%
長崎船 その他|149|0|-
合計|399,178|6,698,532|6.0%
