都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|261,275|1,968,716|21,255|5|238,539|1,970
青森|43,324|210,542|4,513|0|38,718|93
岩手|23,836|236,528|3,468|1|20,285|83
宮城|67,845|493,303|6,070|5|61,376|181
秋田|21,610|55,163|2,850|2|18,708|52
山形|20,900|179,992|1,936|1|18,880|84
福島|45,771|724,623|5,193|1|40,377|201
茨城|134,937|45,068|6,716|4|127,813|408
栃木|73,422|697,810|6,202|1|66,960|260
群馬|78,780|576,105|4,177|1|74,299|304
埼玉|485,716|2,579,863|21,826|13|462,469|1,421
千葉|401,609|1,882,057|21,124|8|365,830|1,713
東京|1,377,465|6,256,562|98,162|15|1,275,028|4,275
神奈川|669,840|2,180,686|26,005|20|641,728|2,107
新潟|54,977|562,478|5,193|0|49,693|91
富山|30,609|220,860|2,003|0|28,516|90
石川|39,724|373,145|3,395|5|36,120|186
福井|24,777|280,054|1,242|1|23,490|45
山梨|26,973|262,958|1,619|0|25,298|65
長野|55,791|623,448|5,497|0|48,956|169
岐阜|78,947|772,250|5,064|1|73,232|320
静岡|137,783|1,117,845|6,861|1|130,513|389
愛知|456,360|2,432,032|25,298|15|429,064|1,998
三重|65,982|451,498|5,101|1|62,258|280
滋賀|76,774|550,820|4,445|0|72,125|204
京都|171,183|753,734|8,135|8|161,922|688
大阪|859,741|6,480,070|39,249|38|815,612|4,868
兵庫|366,384|1,422,780|14,377|13|349,847|2,161
奈良|81,681|468,657|10,299|4|71,025|357
和歌山|33,183|148,840|1,744|1|31,145|111
鳥取|10,867|326,990|872|0|9,844|14
島根|11,787|156,561|1,318|1|10,457|12
岡山|73,271|509,607|4,493|5|64,966|230
広島|114,975|1,643,169|10,914|7|103,604|457
山口|34,176|507,518|2,166|1|31,839|171
徳島|17,871|188,054|822|1|16,977|79
香川|35,360|240,751|2,873|0|32,371|116
愛媛|29,976|313,092|2,500|4|27,342|134
高知|19,594|237,348|1,407|1|18,084|103
福岡|343,909|2,368,045|38,685|12|297,933|1,177
佐賀|39,363|235,045|3,925|0|32,825|95
長崎|38,989|325,313|3,944|1|36,737|118
熊本|75,300|246,988|6,170|3|68,854|276
大分|39,284|511,762|2,911|0|36,225|148
宮崎|34,983|168,591|4,946|1|29,991|122
鹿児島|55,542|339,046|5,922|2|49,108|172
沖縄|144,220|709,324|10,785|9|132,990|443
その他（その他）|149|0|0|0|149|0
合計|7,386,815|44,035,691|473,672|213|6,860,122|29,041
