都道府県名|陽性者数 検査人数||％
北海道|17,626|324,004|5.4%
青森|724|13,444|5.4%
岩手|499|20,161|2.5%
宮城|3,420|48,574|7.0%
秋田|262|6,725|3.9%
山形|510|14,690|3.5%
福島|1,737|86,592|2.0%
茨城|4,875|23,454|20.8%
栃木|3,791|107,069|3.5%
群馬|3,930|76,929|5.1%
埼玉|25,594|459,924|5.6%
千葉|22,730|332,434|6.8%
東京|100,790|1,334,722|7.6%
神奈川|41,172|504,498|8.2%
新潟|921|37,118|2.5%
富山|873|31,259|2.8%
石川|1,473|41,219|3.6%
福井|517|27,353|1.9%
山梨|901|14,741|6.1%
長野|2,298|84,306|2.7%
岐阜|4,269|106,625|4.0%
静岡|4,629|149,524|3.1%
愛知|24,101|320,943|7.5%
三重|2,232|46,585|4.8%
都道府県名|陽性者数 検査人数||％
滋賀|2,158|57,944|3.7%
京都|8,510|132,891|6.4%
大阪|44,111|657,924|6.7%
兵庫|16,528|205,268|8.1%
奈良|3,087|69,966|4.4%
和歌山|1,071|21,677|4.9%
鳥取|202|34,630|0.6%
島根|271|12,166|2.2%
岡山|2,354|51,686|4.6%
広島|4,827|120,841|4.0%
山口|1,250|45,815|2.7%
徳島|389|22,129|1.8%
香川|665|37,851|1.8%
愛媛|996|25,596|3.9%
高知|851|6,936|12.3%
福岡|16,239|374,773|4.3%
佐賀|957|24,127|4.0%
長崎|1,530|57,572|2.7%
熊本|3,353|51,545|6.5%
大分|1,177|65,039|1.8%
宮崎|1,853|23,387|7.9%
鹿児島|1,632|56,867|2.9%
沖縄|7,631|127,156|6.0%
長崎船 その他|149|0|-
合計|391,665|6,496,679|6.0%
