都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|345,711|2,201,537|24,633|6|319,721|2,046
青森|54,657|239,962|2,490|0|52,063|104
岩手|33,037|271,708|2,782|0|30,169|86
宮城|83,750|563,669|3,973|2|79,145|195
秋田|29,372|60,988|1,712|0|27,594|66
山形|27,320|191,348|2,166|0|25,062|92
福島|61,436|804,765|4,224|0|56,994|218
茨城|155,410|1,240,444|3,273|1|151,703|434
栃木|89,086|739,935|3,547|4|85,268|271
群馬|91,535|628,236|3,220|0|88,681|316
埼玉|541,892|2,781,128|10,438|0|529,895|1,559
千葉|443,197|2,045,327|8,387|3|427,808|1,769
東京|1,516,704|6,736,735|43,260|3|1,468,999|4,445
神奈川|741,155|2,180,686|14,409|9|724,570|2,176
新潟|69,174|632,359|3,791|0|65,292|91
富山|36,139|241,445|2,452|1|33,594|93
石川|52,872|431,441|4,066|1|48,589|194
福井|33,406|318,496|1,756|0|31,605|45
山梨|31,127|318,457|933|0|30,132|68
長野|70,757|702,324|3,431|0|66,955|190
岐阜|96,856|861,883|4,888|1|91,263|329
静岡|164,268|1,213,859|8,429|0|152,846|406
愛知|524,648|2,642,476|18,888|4|503,716|2,044
三重|79,551|507,221|3,393|0|77,759|297
滋賀|88,166|620,479|3,429|0|84,518|219
京都|198,095|815,774|7,929|5|188,599|711
大阪|955,119|6,952,456|30,878|19|919,222|5,019
兵庫|413,828|1,534,666|12,279|3|399,327|2,223
奈良|90,714|503,258|3,395|0|86,935|384
和歌山|40,861|169,846|1,491|0|39,045|117
鳥取|14,358|384,353|1,120|0|13,030|19
島根|16,325|202,807|1,108|0|15,202|15
岡山|94,110|568,423|5,287|0|85,600|247
広島|149,176|1,814,903|12,035|2|136,660|481
山口|42,360|555,904|2,680|1|39,505|175
徳島|21,337|208,424|1,188|1|20,070|81
香川|46,244|268,341|2,820|1|43,301|123
愛媛|37,943|351,536|1,842|3|35,962|139
高知|26,260|266,875|2,150|1|24,000|110
福岡|412,643|2,622,185|15,843|4|388,475|1,241
佐賀|50,650|269,047|2,253|0|45,887|105
長崎|52,948|363,470|3,903|0|51,776|124
熊本|93,066|275,401|5,529|4|87,251|286
大分|51,546|570,548|2,835|1|48,552|159
宮崎|49,933|187,423|4,248|1|45,620|140
鹿児島|78,591|401,661|5,104|1|72,748|190
沖縄|202,830|815,530|17,488|14|184,851|457
その他（その他）|149|0|0|0|149|0
合計|8,600,312|49,279,739|327,375|96|8,225,708|30,299
