都道府県名|陽性者数 検査人数※3||％
北海道|14,997|263,853|5.7%
青森 ※3|569|11,295|5.0%
※3※4※5 岩手|434|15,881|2.7%
宮城 ※3※5|2,663|26,684|10.0%
秋田|176|5,141|3.4%
山形|435|11,313|3.8%
福島 ※3|1,276|65,886|1.9%
茨城|3,277|20,147|16.3%
栃木 ※3※5|2,699|83,003|3.3%
群馬 ※3※5|2,948|60,650|4.9%
埼玉 ※4|18,435|360,741|5.1%
千葉|14,973|251,064|6.0%
東京 ※1|77,133|1,108,973|7.0%
神奈川|28,941|394,794|7.3%
新潟 ※3※5|697|31,404|2.2%
富山 ※3※5|729|24,346|3.0%
石川 ※3|1,239|33,404|3.7%
福井 ※3|399|21,414|1.9%
山梨 ※3|754|14,741|5.1%
⾧野 ※3※5|1,733|59,649|2.9%
岐阜 ※5|3,122|77,826|4.0%
静岡 ※3※4|3,427|106,902|3.2%
※3※4※5 愛知|19,616|232,728|8.4%
三重 ※3|1,611|32,398|5.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,594|43,691|3.6%
京都|6,079|105,473|5.8%
大阪 ※3※5|35,306|525,287|6.7%
※3※4※5 兵庫|12,240|159,971|7.7%
奈良 ※5|2,416|55,725|4.3%
和歌山|786|17,926|4.4%
鳥取 ※3※4|165|28,173|0.6%
島根 ※5|227|10,183|2.2%
岡山 ※4|1,892|35,839|5.3%
広島 ※3|4,127|94,467|4.4%
山口 ※4|729|32,146|2.3%
徳島 ※3|265|16,695|1.6%
香川 ※5|447|29,422|1.5%
愛媛|721|16,239|4.4%
高知|740|6,179|12.0%
※3※4※5 福岡|11,558|293,925|3.9%
佐賀 ※3|640|17,108|3.7%
⾧崎|1,056|45,608|2.3%
熊本|2,429|40,894|5.9%
大分|852|49,653|1.7%
宮崎|1,340|17,590|7.6%
鹿児島|1,260|45,378|2.8%
沖縄 ※3|5,971|96,914|6.2%
⾧崎船 ※2 その他|149|0|-
合計|295,272|5,098,723|5.8%
