都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|379,664|2,369,773|6,274|2|371,397|2,094
青森|61,562|262,798|1,897|0|59,555|110
岩手|37,762|298,354|720|0|36,946|96
宮城|93,190|621,569|1,750|0|91,097|199
秋田|31,971|63,660|479|0|31,421|71
山形|30,214|200,341|606|0|29,512|96
福島|66,399|867,349|966|0|65,207|226
茨城|164,348|1,380,150|1,468|0|162,436|444
栃木|93,683|773,999|872|1|92,534|277
群馬|97,661|673,868|998|0|96,513|322
埼玉|566,507|2,944,117|5,413|0|559,434|1,660
千葉|461,665|2,186,275|3,210|1|453,924|1,791
東京|1,587,467|7,163,335|19,454|3|1,563,445|4,568
神奈川|776,041|3,098,487|7,453|2|766,363|2,225
新潟|75,351|684,218|1,016|0|74,244|91
富山|39,812|261,104|1,255|0|38,462|95
石川|59,681|500,579|1,144|0|58,317|197
福井|38,648|341,043|884|0|37,719|45
山梨|34,142|362,425|385|0|33,694|68
長野|77,269|764,542|816|0|76,239|204
岐阜|107,965|936,122|1,489|0|106,015|345
静岡|178,064|1,307,416|1,972|0|174,832|421
愛知|563,919|2,883,500|8,055|1|553,769|2,095
三重|86,457|557,494|1,346|1|86,840|308
滋賀|94,794|673,215|1,380|0|93,193|221
京都|211,071|866,305|2,732|5|207,315|741
大阪|1,006,882|7,421,479|12,257|7|989,511|5,114
兵庫|440,656|1,630,617|5,170|4|433,237|2,249
奈良|95,728|537,994|1,167|1|94,169|392
和歌山|44,081|179,063|543|0|43,210|118
鳥取|16,167|422,007|402|0|15,541|20
島根|18,483|227,920|977|1|17,490|16
岡山|103,962|617,503|1,449|1|101,517|250
広島|167,299|1,978,528|3,006|0|163,799|494
山口|48,579|603,857|1,137|0|47,261|181
徳島|24,242|227,649|643|0|23,515|85
香川|50,524|290,091|587|0|49,809|128
愛媛|43,638|384,857|1,376|1|42,120|142
高知|30,193|310,136|1,008|1|29,070|115
福岡|445,006|2,808,262|6,070|0|431,496|1,267
佐賀|55,975|293,385|1,452|0|52,048|108
長崎|64,332|425,762|2,238|0|62,412|125
熊本|107,376|297,271|3,513|1|103,563|300
大分|57,359|619,818|719|0|56,475|165
宮崎|57,776|194,382|1,485|0|56,062|146
鹿児島|92,144|440,001|2,526|1|89,127|209
沖縄|247,776|917,197|10,736|11|236,471|484
その他（その他）|149|0|0|0|149|0
合計|9,233,634|53,869,817|132,495|45|9,058,475|31,118
