都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|378,529|2,362,639|6,659|3|369,814|2,094
青森|61,145|261,990|1,694|0|59,342|109
岩手|37,639|297,005|859|0|36,684|96
宮城|92,831|620,313|1,793|0|90,628|199
秋田|31,912|63,660|538|0|31,303|71
山形|30,098|200,341|638|0|29,364|96
福島|66,277|867,349|1,096|0|64,956|225
茨城|163,918|1,380,150|1,452|0|162,022|444
栃木|93,550|772,118|923|0|92,350|277
群馬|97,661|673,868|1,076|0|96,264|321
埼玉|565,167|2,939,272|5,484|0|558,023|1,660
千葉|460,562|2,186,275|3,210|1|453,924|1,791
東京|1,583,303|7,153,573|18,587|2|1,560,151|4,565
神奈川|773,868|3,098,487|6,842|2|764,802|2,224
新潟|75,122|683,957|1,023|0|74,008|91
富山|39,659|261,104|1,307|0|38,257|95
石川|59,491|494,583|1,230|0|58,041|197
福井|38,375|340,278|874|0|37,456|45
山梨|34,142|362,425|385|0|33,694|68
長野|77,038|764,542|824|0|76,002|204
岐阜|107,611|934,494|1,606|0|105,506|344
静岡|177,547|1,307,416|2,096|0|174,832|420
愛知|562,151|2,883,500|7,917|2|552,139|2,095
三重|86,097|557,494|1,278|1|86,545|308
滋賀|94,509|671,136|1,410|0|92,878|221
京都|210,449|864,283|2,700|0|206,707|740
大阪|1,004,281|7,393,314|11,814|7|987,358|5,109
兵庫|439,345|1,624,904|5,080|4|432,016|2,249
奈良|95,525|537,994|1,188|1|93,945|392
和歌山|43,911|178,595|493|0|43,090|118
鳥取|16,057|420,548|360|0|15,475|20
島根|18,171|227,920|714|1|17,441|16
岡山|103,659|617,503|1,449|1|101,517|250
広島|166,663|1,972,180|3,074|0|163,095|494
山口|48,290|603,857|1,092|0|47,017|181
徳島|24,105|226,972|670|0|23,353|85
香川|50,392|289,231|613|0|49,651|128
愛媛|43,289|384,398|1,287|1|41,862|140
高知|29,871|310,136|985|1|28,868|115
福岡|443,480|2,800,108|5,807|0|430,101|1,267
佐賀|55,660|292,366|1,421|0|51,694|108
長崎|64,332|425,762|2,293|0|61,921|124
熊本|107,376|295,382|3,513|1|103,563|300
大分|57,171|618,605|727|0|56,279|165
宮崎|57,356|194,172|1,366|0|55,763|145
鹿児島|91,490|438,341|2,622|0|88,340|209
沖縄|245,009|913,101|10,382|8|234,072|484
その他（その他）|149|0|0|0|149|0
合計|9,204,233|53,767,641|130,451|36|9,032,262|31,099
