都道府県名|陽性者数 検査人数||％
北海道|18,130|338,724|5.4%
青森|744|15,573|4.8%
岩手|514|21,264|2.4%
宮城|3,477|49,419|7.0%
秋田|269|6,876|3.9%
山形|526|16,088|3.3%
福島|1,781|92,681|1.9%
茨城|5,173|24,059|21.5%
栃木|3,884|114,354|3.4%
群馬|4,128|79,999|5.2%
埼玉|26,832|485,244|5.5%
千葉|23,891|347,026|6.9%
東京|104,121|1,385,519|7.5%
神奈川|42,402|526,690|8.1%
新潟|955|38,315|2.5%
富山|881|32,546|2.7%
石川|1,570|43,532|3.6%
福井|522|27,997|1.9%
山梨|913|14,741|6.2%
長野|2,338|88,511|2.6%
岐阜|4,459|112,236|4.0%
静岡|4,753|157,701|3.0%
愛知|24,695|340,660|7.2%
三重|2,336|52,085|4.5%
都道府県名|陽性者数 検査人数||％
滋賀|2,251|62,205|3.6%
京都|8,750|139,714|6.3%
大阪|45,195|690,318|6.5%
兵庫|17,132|216,367|7.9%
奈良|3,208|73,364|4.4%
和歌山|1,111|22,722|4.9%
鳥取|207|36,319|0.6%
島根|276|13,515|2.0%
岡山|2,409|55,878|4.3%
広島|4,890|120,841|4.0%
山口|1,308|49,814|2.6%
徳島|395|22,979|1.7%
香川|702|40,184|1.7%
愛媛|1,017|27,709|3.7%
高知|863|6,968|12.4%
福岡|16,835|391,222|4.3%
佐賀|981|25,206|3.9%
長崎|1,563|60,530|2.6%
熊本|3,385|55,073|6.1%
大分|1,233|69,123|1.8%
宮崎|1,883|24,223|7.8%
鹿児島|1,665|59,189|2.8%
沖縄|7,882|132,962|5.9%
長崎船 その他|149|0|-
合計|404,584|6,808,265|5.9%
