都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|41,061|759,366|2,170|24|37,650|1,358
青森|2,453|49,170|21|0|2,401|31
岩手|1,638|82,466|60|1|1,532|46
宮城|9,075|154,142|63|5|8,921|86
秋田|785|14,431|25|1|740|20
山形|2,020|64,223|30|3|1,943|47
福島|4,791|270,860|108|5|4,522|161
茨城|10,295|33,092|202|5|9,931|162
栃木|6,835|279,965|181|11|6,573|81
群馬|8,010|188,946|67|7|7,792|151
埼玉|45,677|945,473|877|23|43,974|826
千葉|39,332|661,836|965|17|37,666|701
東京|169,756|2,452,684|3,322|45|164,231|2,203
神奈川|65,762|1,009,940|1,466|37|63,359|937
新潟|3,387|163,716|58|4|3,282|47
富山|2,018|71,217|69|2|1,912|37
石川|3,920|118,298|73|2|3,730|114
福井|1,155|63,597|92|0|1,029|34
山梨|2,005|50,098|221|1|1,764|20
長野|4,985|197,431|70|2|4,899|91
岐阜|9,389|263,936|184|9|9,020|185
静岡|9,063|390,754|284|4|8,631|148
愛知|50,479|803,886|1,519|41|48,021|939
三重|5,193|137,890|74|4|5,146|110
滋賀|5,509|146,073|156|6|5,264|89
京都|16,478|276,155|227|15|16,004|235
大阪|102,589|2,054,348|1,708|194|97,441|2,609
兵庫|40,732|495,332|370|29|39,090|1,273
奈良|8,187|164,071|147|8|7,914|126
和歌山|2,663|41,442|10|3|2,546|49
鳥取|466|81,177|2|0|455|2
島根|551|29,236|4|1|546|1
岡山|7,581|158,467|139|4|7,302|124
広島|11,412|534,171|261|19|10,939|167
山口|3,116|116,931|87|1|2,956|73
徳島|1,653|63,404|19|0|1,571|63
香川|2,084|83,596|36|2|2,023|30
愛媛|2,749|93,803|17|3|2,657|75
高知|1,749|10,972|96|5|1,629|24
福岡|35,274|810,911|816|27|33,910|513
佐賀|2,546|55,221|13|0|2,546|24
長崎|3,117|121,529|83|0|2,965|69
熊本|6,450|81,179|75|9|6,262|113
大分|3,486|163,730|47|1|3,378|61
宮崎|3,069|43,927|18|0|3,014|27
鹿児島|3,641|109,604|89|2|3,548|38
沖縄|20,232|244,208|1,498|64|18,569|171
（その他）|149|-|0|-|149|-
合計|784,567|15,206,904|18,119|646|751,347|14,491
