都道府県名|陽性者数 検査人数※3||％
北海道|2,229|60,894|3.7%
青森 ※3|37|2,551|1.5%
※3※4※5 岩手|24|4,461|0.5%
宮城 ※3※5|441|11,052|4.0%
秋田|58|2,296|2.5%
山形|78|5,236|1.5%
福島 ※3|279|21,710|1.3%
茨城|693|12,738|5.4%
栃木 ※3|443|32,634|1.4%
群馬 ※3※5|735|23,865|3.1%
埼玉 ※4|4,879|150,073|3.3%
千葉|4,154|100,478|4.1%
東京 ※1|26,869|489,967|5.5%
神奈川|7,266|163,313|4.4%
新潟 ※3※5|171|15,966|1.1%
富山 ※3※5|422|12,961|3.3%
石川 ※3|778|13,948|5.6%
福井 ※3|247|9,952|2.5%
山梨 ※3|196|10,900|1.8%
長野 ※3※5|316|19,797|1.6%
岐阜 ※5|631|23,733|2.7%
静岡 ※3※4|564|36,658|1.5%
※3※4※5 愛知|5,463|81,271|6.7%
三重 ※3|532|13,597|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|508|12,499|4.1%
京都|1,796|44,728|4.0%
大阪 ※3※5|10,950|195,213|5.6%
※3※4※5 兵庫|2,822|59,199|4.8%
奈良 ※5|583|21,662|2.7%
和歌山|242|9,473|2.6%
鳥取 ※3|36|5,510|0.7%
島根 ※5|140|5,875|2.4%
岡山 ※4|161|8,654|1.9%
広島 ※3|612|21,623|2.8%
山口 ※4|206|10,250|2.0%
徳島 ※3|149|7,041|2.1%
香川 ※5|93|11,253|0.8%
愛媛|115|4,157|2.8%
高知|138|3,519|3.9%
※3※4※5 福岡|5,061|139,681|3.6%
佐賀 ※3|248|6,231|4.0%
長崎|238|19,379|1.2%
熊本|642|17,067|3.8%
大分|158|17,693|0.9%
宮崎|344|8,649|4.0%
鹿児島|440|19,852|2.2%
沖縄 ※3|2,656|42,120|6.3%
長崎船 ※2 その他|149|0|-
合計|85,992|2,011,379|4.3%
