都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|41,529|790,155|637|18|39,515|1,411
青森|2,526|51,742|61|0|2,434|31
岩手|1,737|87,392|80|1|1,610|47
宮城|9,206|159,332|100|4|9,006|90
秋田|915|16,024|59|1|836|20
山形|2,028|66,941|12|1|1,969|47
福島|4,985|285,843|149|4|4,675|161
茨城|10,680|33,651|231|5|10,283|166
栃木|7,159|306,938|217|8|6,860|82
群馬|8,054|197,085|37|3|7,863|154
埼玉|47,157|984,623|1,202|21|45,123|832
千葉|41,139|705,517|1,172|17|39,255|712
東京|177,436|2,566,832|4,935|63|170,260|2,241
神奈川|68,690|1,059,024|1,738|32|65,999|953
新潟|3,434|175,273|51|0|3,331|52
富山|2,049|75,011|19|1|1,992|38
石川|3,972|124,317|51|1|3,802|115
福井|1,335|70,715|117|1|1,183|35
山梨|2,125|58,651|51|0|2,053|21
長野|5,045|210,497|41|0|4,988|93
岐阜|9,472|274,570|59|3|9,226|187
静岡|9,436|413,085|246|6|9,038|152
愛知|51,245|844,270|615|16|49,656|974
三重|5,286|145,510|62|3|5,251|112
滋賀|5,580|155,275|58|4|5,432|90
京都|16,685|287,125|138|4|16,281|246
大阪|104,064|2,194,241|1,247|150|99,334|2,685
兵庫|41,043|515,120|257|17|39,478|1,308
奈良|8,392|172,470|145|7|8,115|132
和歌山|2,693|42,211|17|3|2,569|49
鳥取|493|84,934|27|0|457|2
島根|554|31,436|1|0|551|2
岡山|7,599|165,308|25|4|7,439|126
広島|11,538|557,416|94|10|11,253|176
山口|3,162|122,050|46|1|3,036|80
徳島|1,658|65,792|4|0|1,591|63
香川|2,104|87,060|18|2|2,060|31
愛媛|2,755|97,172|4|3|2,676|75
高知|1,859|11,664|65|5|1,767|27
福岡|35,697|844,175|332|12|34,800|523
佐賀|2,567|57,893|16|0|2,563|24
長崎|3,217|127,033|67|0|3,082|69
熊本|6,492|82,343|42|2|6,331|119
大分|3,495|171,409|15|0|3,416|64
宮崎|3,102|44,655|29|0|3,036|27
鹿児島|3,706|112,366|52|1|3,647|39
沖縄|21,107|255,494|782|46|20,135|196
（その他）|149|-|0|-|149|-
合計|806,351|15,987,640|15,423|480|775,406|14,879
