都道府県名|陽性者数 検査人数||％
北海道|18,578|354,325|5.2%
青森|810|16,832|4.8%
岩手|530|22,688|2.3%
宮城|3,513|49,755|7.1%
秋田|269|6,948|3.9%
山形|534|16,641|3.2%
福島|1,842|99,503|1.9%
茨城|5,411|24,547|22.0%
栃木|3,981|118,415|3.4%
群馬|4,296|85,897|5.0%
埼玉|27,971|512,823|5.5%
千葉|24,865|375,700|6.6%
東京|107,959|1,446,004|7.5%
神奈川|43,468|554,397|7.8%
新潟|1,011|40,854|2.5%
富山|892|34,172|2.6%
石川|1,714|46,541|3.7%
福井|531|29,374|1.8%
山梨|929|23,510|4.0%
長野|2,349|93,037|2.5%
岐阜|4,616|122,570|3.8%
静岡|4,870|170,779|2.9%
愛知|25,247|362,781|7.0%
三重|2,408|56,417|4.3%
都道府県名|陽性者数 検査人数||％
滋賀|2,332|65,277|3.6%
京都|8,923|146,640|6.1%
大阪|46,114|729,496|6.3%
兵庫|17,540|229,485|7.6%
奈良|3,285|76,800|4.3%
和歌山|1,153|23,945|4.8%
鳥取|207|38,087|0.5%
島根|280|14,340|2.0%
岡山|2,454|60,138|4.1%
広島|4,961|139,356|3.6%
山口|1,361|52,858|2.6%
徳島|434|24,327|1.8%
香川|726|41,803|1.7%
愛媛|1,029|29,650|3.5%
高知|882|7,052|12.5%
福岡|17,442|414,011|4.2%
佐賀|995|26,279|3.8%
長崎|1,585|63,696|2.5%
熊本|3,418|55,943|6.1%
大分|1,267|73,713|1.7%
宮崎|1,937|24,572|7.9%
鹿児島|1,738|63,634|2.7%
沖縄|8,008|138,879|5.8%
長崎船 その他|149|0|-
合計|416,814|7,204,491|5.8%
