都道府県名|陽性者数 検査人数※3||％
北海道|4,387|96,113|4.6%
青森 ※3|275|6,062|4.5%
※3※4※5 岩手|33|5,793|0.6%
宮城 ※3※5|892|15,516|5.7%
秋田|68|2,673|2.5%
山形|92|6,856|1.3%
福島 ※3|419|34,102|1.2%
茨城|854|14,524|5.9%
栃木 ※3※5|505|47,064|1.1%
群馬 ※3※5|937|31,094|3.0%
埼玉 ※4|6,479|203,293|3.2%
千葉|5,499|137,855|4.0%
東京 ※1|33,377|647,611|5.2%
神奈川|9,604|217,129|4.4%
新潟 ※3※5|216|18,840|1.1%
富山 ※3※5|425|15,525|2.7%
石川 ※3|825|19,143|4.3%
福井 ※3|268|11,881|2.3%
山梨 ※3|257|12,278|2.1%
長野 ※3※5|393|25,014|1.6%
岐阜 ※5|765|28,467|2.7%
静岡 ※3※4|787|46,817|1.7%
※3※4※5 愛知|7,052|110,598|6.4%
三重 ※3|603|16,342|3.7%
都道府県名|陽性者数 検査人数※3||％
※3※5※6 滋賀|636|14,966|4.2%
京都|2,187|55,661|3.9%
大阪 ※3※5|14,376|260,477|5.5%
※3※4※5 兵庫|3,596|74,219|4.8%
奈良 ※5|771|26,732|2.9%
和歌山|298|10,767|2.8%
鳥取 ※3|51|6,039|0.8%
島根 ※5|141|6,281|2.2%
岡山 ※4|348|14,762|2.4%
広島 ※3|680|29,297|2.3%
山口 ※4|233|12,510|1.9%
徳島 ※3|170|7,618|2.2%
香川 ※5|108|14,533|0.7%
愛媛|117|4,476|2.6%
高知|144|3,684|3.9%
※3※4※5 福岡|5,328|175,450|3.0%
佐賀 ※3|275|7,879|3.5%
長崎|249|24,030|1.0%
熊本|866|21,157|4.1%
大分|162|22,399|0.7%
宮崎|373|8,829|4.2%
鹿児島|542|24,227|2.2%
沖縄 ※3|3,597|63,313|5.7%
長崎船 ※2 その他|149|0|-
合計|110,409|2,659,896|4.2%
