都道府県名|陽性者数 検査人数※3||％
北海道|16,672|299,462|5.6%
青森 ※3|677|12,455|5.4%
※3※4※5 岩手|488|18,971|2.6%
宮城 ※3※5|3,253|46,124|7.1%
秋田|247|6,089|4.1%
山形|458|13,142|3.5%
福島 ※3|1,610|77,257|2.1%
茨城|4,365|21,908|19.9%
栃木 ※3※5|3,556|99,127|3.6%
群馬 ※3※5|3,604|69,533|5.2%
埼玉 ※4|23,345|419,823|5.6%
千葉|20,246|303,228|6.7%
東京 ※1|93,890|1,232,156|7.6%
神奈川|38,028|455,639|8.3%
新潟 ※3※5|845|35,261|2.4%
富山 ※3※5|843|28,649|2.9%
石川 ※3|1,422|38,290|3.7%
福井 ※3|480|25,076|1.9%
山梨 ※3|874|14,741|5.9%
長野 ※3※5|2,184|69,826|3.1%
岐阜 ※5|3,937|96,385|4.1%
静岡 ※3※4|4,236|128,855|3.3%
※3※4※5 愛知|22,673|281,822|8.0%
三重 ※3|2,000|42,391|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,967|51,745|3.8%
京都|7,393|118,410|6.2%
大阪 ※3※5|41,454|607,946|6.8%
※3※4※5 兵庫|15,210|187,377|8.1%
奈良 ※5|2,861|63,299|4.5%
和歌山|992|20,359|4.9%
鳥取 ※3※4|189|31,858|0.6%
島根 ※5|242|11,764|2.1%
岡山 ※4|2,228|47,392|4.7%
広島 ※3|4,599|107,047|4.3%
山口 ※4|1,100|40,022|2.7%
徳島 ※3|363|20,130|1.8%
香川 ※5|590|35,075|1.7%
愛媛|940|22,832|4.1%
高知|823|6,735|12.2%
※3※4※5 福岡|15,059|346,280|4.3%
佐賀 ※3|899|21,966|4.1%
長崎|1,359|53,081|2.6%
熊本|3,076|48,014|6.4%
大分|1,042|58,483|1.8%
宮崎|1,696|20,872|8.1%
鹿児島|1,497|52,775|2.8%
沖縄 ※3|7,015|116,703|6.0%
長崎船 ※2 その他|149|0|-
合計|362,676|5,926,375|6.1%
