都道府県名|陽性者数 検査人数※3||％
北海道|2,460|68,209|3.6%
青森 ※3|83|2,975|2.8%
※3※4※5 岩手|26|4,874|0.5%
宮城 ※3※5|508|12,111|4.2%
秋田|59|2,361|2.5%
山形|81|5,335|1.5%
福島 ※3|343|24,370|1.4%
茨城|723|13,174|5.5%
栃木 ※3※5|458|34,074|1.3%
群馬 ※3※5|766|26,175|2.9%
埼玉 ※4|5,286|163,004|3.2%
千葉|4,473|110,522|4.0%
東京 ※1|28,604|532,530|5.4%
神奈川|7,843|178,657|4.4%
新潟 ※3※5|180|16,808|1.1%
富山 ※3※5|423|13,903|3.0%
石川 ※3|788|15,179|5.2%
福井 ※3|254|10,331|2.5%
山梨 ※3|199|11,173|1.8%
長野 ※3※5|323|20,863|1.5%
岐阜 ※5|642|24,856|2.6%
静岡 ※3※4|575|39,100|1.5%
※3※4※5 愛知|5,615|87,811|6.4%
三重 ※3|544|14,558|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|520|13,221|3.9%
京都|1,907|48,126|4.0%
大阪 ※3※5|11,414|210,358|5.4%
※3※4※5 兵庫|2,960|62,910|4.7%
奈良 ※5|610|23,057|2.6%
和歌山|254|9,887|2.6%
鳥取 ※3|36|5,548|0.6%
島根 ※5|140|6,000|2.3%
岡山 ※4|170|8,654|2.0%
広島 ※3|646|25,370|2.5%
山口 ※4|209|10,853|1.9%
徳島 ※3|149|7,143|2.1%
香川 ※5|97|12,231|0.8%
愛媛|116|4,227|2.7%
高知|140|3,565|3.9%
※3※4※5 福岡|5,138|149,523|3.4%
佐賀 ※3|250|6,431|3.9%
長崎|241|20,608|1.2%
熊本|735|18,258|4.0%
大分|159|19,043|0.8%
宮崎|366|8,703|4.2%
鹿児島|462|21,290|2.2%
沖縄 ※3|2,855|46,732|6.1%
長崎船 ※2 その他|149|0|-
合計|90,979|2,174,691|4.2%
