都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|39,938|718,749|5,531|36|33,581|1,241
青森|2,440|47,283|123|4|2,287|30
岩手|1,534|78,252|93|0|1,395|46
宮城|8,995|149,356|163|8|8,742|84
秋田|761|14,012|19|1|724|18
山形|2,000|61,630|70|4|1,884|46
福島|4,677|254,816|148|6|4,374|155
茨城|9,987|32,877|282|9|9,548|157
栃木|6,571|269,971|244|10|6,247|80
群馬|7,951|180,909|192|12|7,613|146
埼玉|44,695|908,060|1,232|39|42,656|807
千葉|38,005|634,413|924|21|36,389|692
東京|164,724|2,355,781|3,739|57|158,857|2,128
神奈川|63,369|963,783|1,757|55|60,694|918
新潟|3,315|152,201|161|3|3,109|45
富山|1,943|67,184|110|8|1,796|37
石川|3,855|103,828|186|5|3,556|110
福井|1,058|60,923|21|0|1,003|34
山梨|1,727|44,960|186|1|1,521|20
長野|4,901|188,081|153|3|4,731|87
岐阜|9,179|251,069|483|21|8,521|175
静岡|8,722|368,461|434|6|8,145|143
愛知|49,029|752,745|3,343|92|44,828|858
三重|5,082|129,213|243|9|4,868|107
滋賀|5,357|138,026|350|11|4,924|83
京都|16,220|263,858|435|19|15,496|225
大阪|101,276|1,915,472|6,436|271|91,475|2,484
兵庫|40,293|474,921|921|66|38,135|1,241
奈良|8,037|157,332|190|11|7,728|119
和歌山|2,641|40,916|31|8|2,508|47
鳥取|466|75,308|11|0|446|2
島根|548|27,832|27|2|521|0
岡山|7,509|148,791|578|18|6,712|115
広島|11,074|513,008|482|20|10,201|145
山口|3,034|108,624|222|3|2,743|69
徳島|1,636|60,637|19|0|1,554|63
香川|2,048|80,250|78|5|1,949|26
愛媛|2,734|89,579|35|4|2,624|75
高知|1,626|10,446|155|14|1,450|21
福岡|34,791|777,067|2,111|54|32,132|487
佐賀|2,534|52,119|61|1|2,482|23
長崎|3,017|115,994|158|1|2,791|68
熊本|6,367|79,845|257|15|6,002|108
大分|3,449|154,300|129|3|3,262|58
宮崎|3,049|43,551|34|3|2,979|26
鹿児島|3,535|106,145|230|2|3,288|32
沖縄|18,936|229,394|2,481|74|16,305|156
（その他）|149|-|0|-|149|-
合計|764,784|14,451,972|35,268|1,015|714,925|13,837
