都道府県名|陽性者数 検査人数||％
北海道|18,642|358,018|5.2%
青森|812|16,916|4.8%
岩手|539|23,058|2.3%
宮城|3,519|49,792|7.1%
秋田|269|6,949|3.9%
山形|534|16,817|3.2%
福島|1,849|101,050|1.8%
茨城|5,437|24,627|22.1%
栃木|3,990|118,611|3.4%
群馬|4,324|86,627|5.0%
埼玉|28,100|517,425|5.4%
千葉|24,995|376,831|6.6%
東京|108,337|1,455,652|7.4%
神奈川|43,583|558,393|7.8%
新潟|1,019|41,225|2.5%
富山|895|34,498|2.6%
石川|1,728|47,001|3.7%
福井|535|29,498|1.8%
山梨|929|23,510|4.0%
長野|2,349|93,539|2.5%
岐阜|4,628|124,281|3.7%
静岡|4,903|172,715|2.8%
愛知|25,310|367,004|6.9%
三重|2,420|56,417|4.3%
都道府県名|陽性者数 検査人数||％
滋賀|2,348|65,904|3.6%
京都|8,940|147,702|6.1%
大阪|46,247|736,011|6.3%
兵庫|17,586|230,959|7.6%
奈良|3,300|77,579|4.3%
和歌山|1,154|24,003|4.8%
鳥取|207|38,438|0.5%
島根|280|14,340|2.0%
岡山|2,458|60,138|4.1%
広島|4,976|143,647|3.5%
山口|1,363|55,951|2.4%
徳島|439|24,491|1.8%
香川|726|42,239|1.7%
愛媛|1,029|29,656|3.5%
高知|882|7,086|12.4%
福岡|17,490|417,809|4.2%
佐賀|995|26,359|3.8%
長崎|1,586|64,165|2.5%
熊本|3,425|55,943|6.1%
大分|1,271|74,466|1.7%
宮崎|1,938|24,581|7.9%
鹿児島|1,739|64,107|2.7%
沖縄|8,029|139,601|5.8%
長崎船 その他|149|0|-
合計|418,203|7,265,629|5.8%
