都道府県名|陽性者数 検査人数※3||％
北海道|15,300|270,645|5.7%
青森 ※3|607|11,633|5.2%
※3※4※5 岩手|449|16,513|2.7%
宮城 ※3※5|2,750|42,970|6.4%
秋田|181|5,154|3.5%
山形|438|11,523|3.8%
福島 ※3|1,337|67,811|2.0%
茨城|3,458|20,533|16.8%
栃木 ※3※5|2,916|85,390|3.4%
群馬 ※3※5|3,066|62,806|4.9%
埼玉 ※4|19,281|372,814|5.2%
千葉|15,883|258,017|6.2%
東京 ※1|80,068|1,137,244|7.0%
神奈川|30,691|406,741|7.5%
新潟 ※3※5|739|32,037|2.3%
富山 ※3※5|755|25,927|2.9%
石川 ※3|1,267|34,619|3.7%
福井 ※3|411|22,228|1.8%
山梨 ※3|795|14,741|5.4%
長野 ※3※5|1,819|62,480|2.9%
岐阜 ※5|3,288|82,493|4.0%
静岡 ※3※4|3,621|106,902|3.4%
※3※4※5 愛知|20,066|253,386|7.9%
三重 ※3|1,672|32,398|5.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,661|45,204|3.7%
京都|6,187|106,732|5.8%
大阪 ※3※5|36,434|543,085|6.7%
※3※4※5 兵庫|12,686|164,362|7.7%
奈良 ※5|2,481|57,058|4.3%
和歌山|819|18,508|4.4%
鳥取 ※3※4|170|28,928|0.6%
島根 ※5|230|10,183|2.3%
岡山 ※4|1,967|35,839|5.5%
広島 ※3|4,220|99,692|4.2%
山口 ※4|760|35,818|2.1%
徳島 ※3|272|17,284|1.6%
香川 ※5|477|30,651|1.6%
愛媛|762|16,790|4.5%
高知|757|6,259|12.1%
※3※4※5 福岡|12,009|303,802|4.0%
佐賀 ※3|698|17,753|3.9%
長崎|1,118|47,030|2.4%
熊本|2,722|43,346|6.3%
大分|885|51,886|1.7%
宮崎|1,429|18,621|7.7%
鹿児島|1,301|47,153|2.8%
沖縄 ※3|6,107|98,244|6.2%
長崎船 ※2 その他|149|0|-
合計|307,159|5,281,233|5.8%
