都道府県名|陽性者数 検査人数※3||％
北海道|16,035|284,681|5.6%
青森 ※3|656|12,157|5.4%
※3※4※5 岩手|475|17,426|2.7%
宮城 ※3※5|3,017|44,325|6.8%
秋田|219|5,856|3.7%
山形|447|12,104|3.7%
福島 ※3|1,483|72,466|2.0%
茨城|3,941|21,335|18.5%
栃木 ※3※5|3,340|90,157|3.7%
群馬 ※3※5|3,375|66,127|5.1%
埼玉 ※4|21,534|394,634|5.5%
千葉|18,168|273,155|6.7%
東京 ※1|87,914|1,195,140|7.4%
神奈川|34,879|432,514|8.1%
新潟 ※3※5|781|33,576|2.3%
富山 ※3※5|810|27,864|2.9%
石川 ※3|1,356|36,593|3.7%
福井 ※3|461|23,196|2.0%
山梨 ※3|855|14,741|5.8%
長野 ※3※5|2,028|66,982|3.0%
岐阜 ※5|3,618|87,953|4.1%
静岡 ※3※4|3,964|124,085|3.2%
※3※4※5 愛知|21,420|269,490|7.9%
三重 ※3|1,822|35,367|5.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,798|49,127|3.7%
京都|6,877|114,039|6.0%
大阪 ※3※5|39,051|571,165|6.8%
※3※4※5 兵庫|13,955|174,439|8.0%
奈良 ※5|2,674|60,477|4.4%
和歌山|904|19,434|4.7%
鳥取 ※3※4|179|30,252|0.6%
島根 ※5|237|10,827|2.2%
岡山 ※4|2,124|35,898|5.9%
広島 ※3|4,424|107,047|4.1%
山口 ※4|968|35,818|2.7%
徳島 ※3|304|18,100|1.7%
香川 ※5|546|32,858|1.7%
愛媛|849|19,320|4.4%
高知|791|6,441|12.3%
※3※4※5 福岡|13,623|323,459|4.2%
佐賀 ※3|812|19,559|4.2%
長崎|1,263|49,959|2.5%
熊本|3,029|47,125|6.4%
大分|939|55,025|1.7%
宮崎|1,599|20,022|8.0%
鹿児島|1,387|49,617|2.8%
沖縄 ※3|6,580|104,697|6.3%
長崎船 ※2 その他|149|0|-
合計|337,660|5,596,629|6.0%
