都道府県名|陽性者数 検査人数||％
北海道|18,441|349,717|5.3%
青森|801|16,238|4.9%
岩手|520|22,363|2.3%
宮城|3,493|49,658|7.0%
秋田|269|6,879|3.9%
山形|532|16,505|3.2%
福島|1,827|97,015|1.9%
茨城|5,334|24,378|21.9%
栃木|3,954|116,827|3.4%
群馬|4,231|83,749|5.1%
埼玉|27,633|502,990|5.5%
千葉|24,476|371,115|6.6%
東京|106,134|1,423,473|7.5%
神奈川|43,156|542,742|8.0%
新潟|1,003|39,982|2.5%
富山|887|33,471|2.7%
石川|1,652|45,401|3.6%
福井|530|28,900|1.8%
山梨|919|14,741|6.2%
長野|2,345|90,739|2.6%
岐阜|4,554|119,585|3.8%
静岡|4,824|164,992|2.9%
愛知|25,069|353,866|7.1%
三重|2,379|56,417|4.2%
都道府県名|陽性者数 検査人数||％
滋賀|2,305|64,483|3.6%
京都|8,846|143,753|6.2%
大阪|45,849|715,781|6.4%
兵庫|17,415|225,376|7.7%
奈良|3,254|75,362|4.3%
和歌山|1,143|23,690|4.8%
鳥取|207|37,420|0.6%
島根|280|13,515|2.1%
岡山|2,442|60,138|4.1%
広島|4,931|139,356|3.5%
山口|1,352|52,858|2.6%
徳島|424|23,878|1.8%
香川|717|41,472|1.7%
愛媛|1,029|29,634|3.5%
高知|874|6,996|12.5%
福岡|17,263|406,435|4.2%
佐賀|995|25,938|3.8%
長崎|1,580|62,926|2.5%
熊本|3,403|55,602|6.1%
大分|1,261|72,634|1.7%
宮崎|1,906|24,475|7.8%
鹿児島|1,716|61,770|2.8%
沖縄|7,971|136,270|5.8%
長崎船 その他|149|0|-
合計|412,275|7,071,505|5.8%
