都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|257,396|1,959,657|21,338|6|234,133|1,964
青森|42,877|209,613|4,762|0|38,022|93
岩手|23,308|235,186|3,516|0|19,710|82
宮城|67,214|491,157|6,107|5|60,371|180
秋田|21,182|54,119|3,018|3|18,112|52
山形|20,585|179,014|2,093|1|18,408|84
福島|45,009|717,303|5,582|0|39,226|201
茨城|133,121|44,951|7,509|2|125,206|406
栃木|72,646|695,545|6,646|1|65,742|258
群馬|78,216|571,643|4,677|1|73,236|303
埼玉|481,638|2,571,396|24,774|13|455,444|1,420
千葉|398,672|1,882,057|21,124|8|365,830|1,707
東京|1,368,766|6,256,562|98,703|17|1,265,796|4,267
神奈川|663,997|2,180,686|29,719|21|632,180|2,098
新潟|53,930|558,736|5,715|0|48,124|91
富山|30,472|220,126|2,149|0|28,233|90
石川|39,246|372,188|3,356|3|35,681|186
福井|24,471|278,901|1,361|1|23,065|45
山梨|26,520|262,958|1,763|0|24,705|64
長野|54,730|618,110|5,271|0|47,223|169
岐阜|78,253|770,567|5,269|1|72,036|320
静岡|136,396|1,066,008|7,837|0|126,870|389
愛知|452,032|2,417,403|25,626|14|424,410|1,996
三重|65,124|451,498|5,288|1|61,183|280
滋賀|76,142|547,955|4,737|0|71,201|204
京都|169,891|751,268|8,860|9|159,426|688
大阪|856,087|6,453,078|42,064|37|809,141|4,863
兵庫|362,753|1,415,390|15,581|16|345,014|2,159
奈良|81,003|466,067|9,896|6|70,750|357
和歌山|32,740|147,417|1,719|2|30,729|111
鳥取|10,661|324,854|854|0|9,662|14
島根|11,561|156,561|1,348|0|10,202|11
岡山|72,357|509,607|4,493|5|64,966|230
広島|112,739|1,618,942|12,821|7|99,462|456
山口|33,865|507,518|2,438|1|31,257|170
徳島|17,750|187,805|917|1|16,764|79
香川|34,863|240,143|2,995|0|31,752|116
愛媛|29,654|312,570|2,816|4|26,704|134
高知|19,388|231,250|1,458|2|17,828|102
福岡|340,508|2,358,504|37,642|12|294,658|1,173
佐賀|38,742|233,709|3,783|0|32,047|95
長崎|38,481|324,085|4,058|0|36,073|118
熊本|73,853|245,975|5,645|4|67,932|276
大分|38,818|511,523|3,275|0|35,396|147
宮崎|34,141|166,241|5,561|1|28,534|122
鹿児島|54,540|336,381|5,767|2|47,888|172
沖縄|142,330|704,970|11,491|12|130,397|442
その他（その他）|149|0|0|0|149|0
合計|7,318,817|43,817,197|493,422|219|6,770,878|28,984
