都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|20,371|426,277|711|8|18,916|731
青森|896|22,887|67|0|809|20
岩手|587|41,402|27|0|530|30
宮城|4,630|79,552|684|3|3,919|27
秋田|277|7,258|9|0|262|6
山形|646|30,356|92|0|538|16
福島|2,314|134,132|263|13|1,947|104
茨城|6,399|25,439|328|5|5,948|123
栃木|4,422|164,216|166|0|4,186|70
群馬|4,819|105,705|166|3|4,559|94
埼玉|31,664|610,951|1,304|35|29,671|689
千葉|28,639|453,485|1,080|19|27,019|540
東京|117,517|1,677,725|2,978|47|112,903|1,636
神奈川|47,085|657,502|982|19|45,338|765
新潟|1,274|75,965|127|1|1,131|16
富山|921|39,826|14|2|879|28
石川|1,894|57,623|17|2|1,812|63
福井|553|34,087|7|0|521|25
山梨|955|29,599|12|0|925|18
長野|2,532|107,932|113|1|2,403|41
岐阜|4,827|150,950|58|5|4,648|121
静岡|5,493|228,845|184|0|5,199|110
愛知|26,681|436,037|486|10|25,625|570
三重|2,643|73,145|79|2|2,576|67
滋賀|2,693|82,402|104|5|2,538|51
京都|9,236|168,878|103|3|8,970|165
大阪|49,158|946,152|1,277|59|46,321|1,162
兵庫|18,859|279,750|632|45|17,655|572
奈良|3,511|90,358|82|5|3,379|50
和歌山|1,202|25,479|29|2|1,131|18
鳥取|210|44,852|0|0|205|2
島根|285|17,152|0|0|285|0
岡山|2,620|75,671|76|6|2,479|35
広島|5,078|173,745|33|4|4,939|103
山口|1,397|64,978|18|0|1,336|43
徳島|468|29,265|14|2|436|18
香川|779|48,698|20|0|741|18
愛媛|1,084|36,361|20|1|1,040|24
高知|912|7,331|10|3|883|19
福岡|18,716|486,963|419|10|17,972|325
佐賀|1,162|30,738|49|2|1,123|11
長崎|1,616|73,577|2|0|1,576|38
熊本|3,485|57,577|26|0|3,392|74
大分|1,301|88,359|10|0|1,269|22
宮崎|1,953|24,807|0|0|1,924|22
鹿児島|1,774|70,682|10|0|1,759|28
沖縄|8,751|157,712|383|2|8,251|123
（その他）|149|-|0|-|149|-
合計|454,438|8,752,383|13,271|324|432,017|8,833
