都道府県名|陽性者数 検査人数※3||％
北海道|2,652|73,414|3.6%
青森 ※3|150|3,633|4.1%
※3※4※5 岩手|27|5,134|0.5%
宮城 ※3※5|545|12,763|4.3%
秋田|61|2,448|2.5%
山形|84|5,758|1.5%
福島 ※3|379|26,962|1.4%
茨城|737|13,525|5.4%
栃木 ※3※5|476|35,101|1.4%
群馬 ※3※5|839|27,505|3.1%
埼玉 ※4|5,561|173,925|3.2%
千葉|4,734|119,191|4.0%
東京 ※1|29,706|563,985|5.3%
神奈川|8,246|187,119|4.4%
新潟 ※3※5|180|17,268|1.0%
富山 ※3※5|422|14,261|3.0%
石川 ※3|798|16,055|5.0%
福井 ※3|256|10,775|2.4%
山梨 ※3|203|11,373|1.8%
長野 ※3※5|330|22,077|1.5%
岐阜 ※5|668|25,757|2.6%
静岡 ※3※4|588|40,885|1.4%
※3※4※5 愛知|5,768|92,555|6.2%
三重 ※3|554|15,371|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|535|13,549|3.9%
京都|1,958|50,753|3.9%
大阪 ※3※5|11,880|221,805|5.4%
※3※4※5 兵庫|3,056|65,340|4.7%
奈良 ※5|624|23,806|2.6%
和歌山|268|10,148|2.6%
鳥取 ※3|35|5,578|0.6%
島根 ※5|140|6,085|2.3%
岡山 ※4|194|10,217|1.9%
広島 ※3|651|26,568|2.5%
山口 ※4|213|11,384|1.9%
徳島 ※3|164|7,364|2.2%
香川 ※5|101|12,904|0.8%
愛媛|116|4,293|2.7%
高知|140|3,603|3.9%
※3※4※5 福岡|5,174|156,615|3.3%
佐賀 ※3|253|6,890|3.7%
長崎|242|21,431|1.1%
熊本|767|18,924|4.1%
大分|159|19,950|0.8%
宮崎|366|8,741|4.2%
鹿児島|463|21,698|2.1%
沖縄 ※3|3,094|51,072|6.1%
長崎船 ※2 その他|149|0|-
合計|94,706|2,295,558|4.1%
