都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|388,991|2,421,897|6,273|1|380,327|2,101
青森|65,812|273,229|2,949|0|62,746|117
岩手|39,681|307,291|1,556|0|38,028|97
宮城|97,414|641,237|2,797|0|93,992|202
秋田|32,824|64,091|730|1|32,022|72
山形|31,654|203,343|1,106|0|30,450|98
福島|68,185|887,849|1,529|0|66,429|227
茨城|168,704|1,380,150|2,746|1|165,508|450
栃木|96,298|785,323|2,194|0|93,826|278
群馬|100,284|687,975|2,690|0|98,209|323
埼玉|587,511|3,017,978|17,180|3|568,664|1,667
千葉|480,271|2,240,725|6,982|2|460,494|1,805
東京|1,662,700|7,380,151|63,205|10|1,594,908|4,587
神奈川|807,381|3,152,340|23,493|9|781,645|2,243
新潟|77,978|700,992|2,046|0|75,841|91
富山|41,877|267,387|1,881|0|39,900|96
石川|62,418|522,052|2,047|1|60,149|199
福井|40,917|348,922|1,576|0|39,295|46
山梨|35,343|377,768|854|0|34,428|68
長野|80,171|782,482|1,923|0|77,785|205
岐阜|113,620|963,437|3,836|1|108,787|349
静岡|186,019|1,343,104|6,004|0|177,674|423
愛知|587,773|2,955,197|18,557|3|567,112|2,104
三重|91,564|573,678|3,787|1|89,562|316
滋賀|98,401|694,741|2,821|1|95,358|222
京都|220,155|887,862|7,325|8|210,754|755
大阪|1,051,219|7,623,712|37,785|7|1,008,213|5,221
兵庫|457,647|1,683,014|11,748|5|443,646|2,253
奈良|99,454|551,188|3,363|2|95,699|392
和歌山|47,524|187,158|2,051|0|45,139|118
鳥取|18,185|437,602|1,619|0|16,330|20
島根|25,191|245,209|5,506|1|19,667|18
岡山|107,515|631,386|1,492|0|103,894|252
広島|173,554|2,008,797|4,693|0|168,366|495
山口|51,669|619,372|2,224|0|49,264|181
徳島|25,565|234,327|944|0|24,543|86
香川|52,607|298,143|1,566|0|50,912|129
愛媛|49,164|402,096|4,125|2|44,896|143
高知|32,332|323,703|1,520|1|30,695|116
福岡|469,833|2,902,243|15,954|0|444,302|1,284
佐賀|62,274|305,168|4,098|0|54,748|111
長崎|69,323|453,403|4,171|0|66,187|127
熊本|120,563|317,655|7,865|1|112,389|309
大分|62,642|641,763|3,931|0|58,544|167
宮崎|62,915|196,399|3,892|1|58,790|148
鹿児島|100,379|458,031|5,560|0|93,745|214
沖縄|272,950|953,024|17,372|13|255,024|493
その他（その他）|149|0|0|0|149|0
合計|9,676,600|55,334,594|329,566|75|9,289,035|31,418
