都道府県名|陽性者数 検査人数※3||％
北海道|17,125|310,946|5.5%
青森 ※3|699|13,054|5.4%
※3※4※5 岩手|495|19,618|2.5%
宮城 ※3※5|3,345|47,850|7.0%
秋田|255|6,354|4.0%
山形|480|13,913|3.5%
福島 ※3|1,693|82,132|2.1%
茨城|4,600|22,957|20.0%
栃木 ※3※5|3,687|102,397|3.6%
群馬 ※3※5|3,734|72,818|5.1%
埼玉 ※4|24,386|440,312|5.5%
千葉|21,448|313,584|6.8%
東京 ※1|97,571|1,290,024|7.6%
神奈川|39,592|484,565|8.2%
新潟 ※3※5|889|36,156|2.5%
富山 ※3※5|857|29,974|2.9%
石川 ※3|1,447|39,983|3.6%
福井 ※3|506|26,159|1.9%
山梨 ※3|898|14,741|6.1%
長野 ※3※5|2,256|79,914|2.8%
岐阜 ※5|4,142|101,731|4.1%
静岡 ※3※4|4,468|139,252|3.2%
※3※4※5 愛知|23,368|305,475|7.6%
三重 ※3|2,129|42,391|5.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,067|54,283|3.8%
京都|8,091|125,411|6.5%
大阪 ※3※5|42,824|633,464|6.8%
※3※4※5 兵庫|15,830|195,015|8.1%
奈良 ※5|2,957|67,073|4.4%
和歌山|1,032|21,026|4.9%
鳥取 ※3※4|198|33,403|0.6%
島根 ※5|254|11,764|2.2%
岡山 ※4|2,303|47,392|4.9%
広島 ※3|4,700|120,841|3.9%
山口 ※4|1,190|45,815|2.6%
徳島 ※3|381|21,093|1.8%
香川 ※5|620|36,523|1.7%
愛媛|970|23,128|4.2%
高知|835|6,815|12.3%
※3※4※5 福岡|15,367|360,243|4.3%
佐賀 ※3|938|23,477|4.0%
長崎|1,446|55,149|2.6%
熊本|3,299|51,379|6.4%
大分|1,115|61,550|1.8%
宮崎|1,794|22,420|8.0%
鹿児島|1,566|54,334|2.9%
沖縄 ※3|7,368|121,909|6.0%
長崎船 ※2 その他|149|0|-
合計|377,364|6,229,807|6.1%
