都道府県名|陽性者数 検査人数※3||％
北海道|4,584|98,322|4.7%
青森 ※3|275|6,086|4.5%
※3※4※5 岩手|41|5,869|0.7%
宮城 ※3※5|925|15,741|5.9%
秋田|70|2,681|2.6%
山形|94|6,905|1.4%
福島 ※3|421|34,473|1.2%
茨城|880|14,595|6.0%
栃木 ※3※5|507|47,167|1.1%
群馬 ※3※5|942|32,541|2.9%
埼玉 ※4|6,554|206,696|3.2%
千葉|5,573|140,787|4.0%
東京 ※1|33,770|653,601|5.2%
神奈川|9,750|218,948|4.5%
新潟 ※3※5|222|19,118|1.2%
富山 ※3※5|425|15,642|2.7%
石川 ※3|827|19,297|4.3%
福井 ※3|269|12,028|2.2%
山梨 ※3|267|12,383|2.2%
⾧野 ※3※5|406|25,291|1.6%
岐阜 ※5|785|28,777|2.7%
静岡 ※3※4|806|47,434|1.7%
※3※4※5 愛知|7,156|112,032|6.4%
三重 ※3|606|16,342|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|646|14,966|4.3%
京都|2,205|55,763|4.0%
大阪 ※3※5|14,607|263,438|5.5%
※3※4※5 兵庫|3,666|74,889|4.9%
奈良 ※5|788|27,089|2.9%
和歌山|304|10,900|2.8%
鳥取 ※3|51|6,067|0.8%
島根 ※5|141|6,354|2.2%
岡山 ※4|354|14,762|2.4%
広島 ※3|681|29,577|2.3%
山口 ※4|234|12,510|1.9%
徳島 ※3|170|7,635|2.2%
香川 ※5|110|14,703|0.7%
愛媛|121|4,488|2.7%
高知|144|3,685|3.9%
※3※4※5 福岡|5,344|176,998|3.0%
佐賀 ※3|276|7,955|3.5%
⾧崎|249|24,224|1.0%
熊本|877|21,235|4.1%
大分|163|22,617|0.7%
宮崎|373|8,829|4.2%
鹿児島|542|24,469|2.2%
沖縄 ※3|3,620|63,899|5.7%
⾧崎船 ※2 その他|149|0|-
合計|111,970|2,689,808|4.2%
