都道府県名|陽性者数 検査人数※3||％
北海道|2,430|67,282|3.6%
青森 ※3|57|2,888|2.0%
※3※4※5 岩手|25|4,796|0.5%
宮城 ※3※5|504|11,985|4.2%
秋田|59|2,354|2.5%
山形|81|5,326|1.5%
福島 ※3|332|24,007|1.4%
茨城|719|13,121|5.5%
栃木 ※3※5|453|34,014|1.3%
群馬 ※3※5|764|25,946|2.9%
埼玉 ※4|5,234|160,965|3.3%
千葉|4,430|109,745|4.0%
東京 ※1|28,420|526,696|5.4%
神奈川|7,758|176,654|4.4%
新潟 ※3※5|180|16,688|1.1%
富山 ※3※5|422|13,796|3.1%
石川 ※3|787|15,040|5.2%
福井 ※3|249|10,331|2.4%
山梨 ※3|199|11,139|1.8%
長野 ※3※5|320|20,700|1.5%
岐阜 ※5|640|24,739|2.6%
静岡 ※3※4|572|38,804|1.5%
※3※4※5 愛知|5,596|87,290|6.4%
三重 ※3|544|14,421|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|520|13,209|3.9%
京都|1,898|47,653|4.0%
大阪 ※3※5|11,361|208,217|5.5%
※3※4※5 兵庫|2,946|62,442|4.7%
奈良 ※5|607|22,972|2.6%
和歌山|254|9,858|2.6%
鳥取 ※3|36|5,543|0.6%
島根 ※5|140|5,980|2.3%
岡山 ※4|168|8,654|1.9%
広島 ※3|644|24,965|2.6%
山口 ※4|209|10,769|1.9%
徳島 ※3|149|7,130|2.1%
香川 ※5|96|12,082|0.8%
愛媛|115|4,215|2.7%
高知|140|3,565|3.9%
※3※4※5 福岡|5,125|148,398|3.5%
佐賀 ※3|249|6,369|3.9%
長崎|241|20,496|1.2%
熊本|726|18,138|4.0%
大分|158|18,834|0.8%
宮崎|366|8,699|4.2%
鹿児島|456|21,218|2.1%
沖縄 ※3|2,826|45,857|6.2%
長崎船 ※2 その他|149|0|-
合計|90,354|2,153,990|4.2%
