都道府県名|陽性者数 検査人数||％
北海道|18,327|346,126|5.3%
青森|794|15,881|5.0%
岩手|519|22,098|2.3%
宮城|3,488|49,597|7.0%
秋田|269|6,878|3.9%
山形|531|16,351|3.2%
福島|1,805|95,314|1.9%
茨城|5,293|24,220|21.9%
栃木|3,927|115,994|3.4%
群馬|4,200|82,684|5.1%
埼玉|27,345|495,551|5.5%
千葉|24,261|362,807|6.7%
東京|105,458|1,403,828|7.5%
神奈川|42,897|536,389|8.0%
新潟|986|39,174|2.5%
富山|884|33,203|2.7%
石川|1,621|45,067|3.6%
福井|528|28,864|1.8%
山梨|918|14,741|6.2%
長野|2,345|90,063|2.6%
岐阜|4,524|117,483|3.9%
静岡|4,801|171,062|2.8%
愛知|24,936|347,169|7.2%
三重|2,361|52,085|4.5%
都道府県名|陽性者数 検査人数||％
滋賀|2,284|63,427|3.6%
京都|8,798|141,570|6.2%
大阪|45,618|703,933|6.5%
兵庫|17,324|229,394|7.6%
奈良|3,238|74,734|4.3%
和歌山|1,129|23,123|4.9%
鳥取|207|37,118|0.6%
島根|280|13,515|2.1%
岡山|2,428|55,878|4.3%
広島|4,915|139,356|3.5%
山口|1,344|52,858|2.5%
徳島|419|23,562|1.8%
香川|715|41,274|1.7%
愛媛|1,026|27,910|3.7%
高知|868|6,984|12.4%
福岡|17,066|401,363|4.3%
佐賀|993|25,836|3.8%
長崎|1,569|62,247|2.5%
熊本|3,392|55,410|6.1%
大分|1,249|71,891|1.7%
宮崎|1,906|24,309|7.8%
鹿児島|1,685|61,000|2.8%
沖縄|7,944|135,314|5.9%
長崎船 その他|149|0|-
合計|409,564|6,984,635|5.9%
