都道府県名|陽性者数 検査人数※3||％
北海道|10,564|179,615|5.9%
青森 ※3|358|7,732|4.6%
※3※4※5 岩手|230|10,500|2.2%
宮城 ※3※5|1,379|20,768|6.6%
秋田|90|3,746|2.4%
山形|211|8,725|2.4%
福島 ※3|565|43,381|1.3%
茨城|1,911|17,732|10.8%
栃木 ※3※5|822|59,955|1.4%
群馬 ※3※5|1,526|40,734|3.7%
埼玉 ※4|9,916|257,874|3.8%
千葉|7,842|187,875|4.2%
東京 ※1|45,529|832,855|5.5%
神奈川|14,314|278,675|5.1%
新潟 ※3※5|374|23,908|1.6%
富山 ※3※5|462|18,434|2.5%
石川 ※3|888|24,224|3.7%
福井 ※3|331|16,405|2.0%
山梨 ※3|437|14,053|3.1%
長野 ※3※5|892|35,313|2.5%
岐阜 ※5|1,381|47,457|2.9%
静岡 ※3※4|2,059|67,074|3.1%
※3※4※5 愛知|11,881|150,622|7.9%
三重 ※3|1,011|22,079|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|847|30,278|2.8%
京都|3,022|72,905|4.1%
大阪 ※3※5|23,835|367,365|6.5%
※3※4※5 兵庫|6,849|108,330|6.3%
奈良 ※5|1,410|37,665|3.7%
和歌山|538|14,550|3.7%
鳥取 ※3※4|67|19,267|0.3%
島根 ※5|159|7,158|2.2%
岡山 ※4|702|20,802|3.4%
広島 ※3|1,249|39,067|3.2%
山口 ※4|427|22,347|1.9%
徳島 ※3|187|13,733|1.4%
香川 ※5|195|19,072|1.0%
愛媛|354|8,650|4.1%
高知|301|4,414|6.8%
※3※4※5 福岡|6,343|218,811|2.9%
佐賀 ※3|367|11,101|3.3%
長崎|278|29,063|1.0%
熊本|1,152|27,107|4.2%
大分|464|32,363|1.4%
宮崎|579|10,795|5.4%
鹿児島|741|29,617|2.5%
沖縄 ※3|4,702|78,065|6.0%
長崎船 ※2 その他|149|0|-
合計|169,890|3,592,261|4.7%
