都道府県名|陽性者数 検査人数||％
北海道|18,901|370,987|5.1%
青森|813|17,120|4.7%
岩手|553|24,184|2.3%
宮城|3,568|66,457|5.4%
秋田|269|7,031|3.8%
山形|537|17,236|3.1%
福島|1,885|106,514|1.8%
茨城|5,611|24,833|22.6%
栃木|4,048|122,494|3.3%
群馬|4,402|89,498|4.9%
埼玉|28,861|533,758|5.4%
千葉|25,766|391,887|6.6%
東京|110,187|1,490,491|7.4%
神奈川|44,278|571,658|7.7%
新潟|1,041|42,636|2.4%
富山|903|35,301|2.6%
石川|1,811|48,841|3.7%
福井|542|31,484|1.7%
山梨|935|24,827|3.8%
長野|2,358|95,860|2.5%
岐阜|4,687|129,688|3.6%
静岡|5,046|179,607|2.8%
愛知|25,599|377,566|6.8%
三重|2,486|60,178|4.1%
都道府県名|陽性者数 検査人数||％
滋賀|2,411|71,346|3.4%
京都|9,017|151,641|5.9%
大阪|46,779|763,271|6.1%
兵庫|17,820|240,694|7.4%
奈良|3,341|79,558|4.2%
和歌山|1,160|24,272|4.8%
鳥取|208|39,407|0.5%
島根|282|15,115|1.9%
岡山|2,472|63,400|3.9%
広島|5,004|149,875|3.3%
山口|1,370|55,951|2.4%
徳島|447|25,617|1.7%
香川|747|43,673|1.7%
愛媛|1,055|31,271|3.4%
高知|884|7,091|12.5%
福岡|17,845|431,524|4.1%
佐賀|1,028|27,079|3.8%
長崎|1,608|66,043|2.4%
熊本|3,437|56,482|6.1%
大分|1,288|77,318|1.7%
宮崎|1,946|24,645|7.9%
鹿児島|1,754|66,182|2.7%
沖縄|8,109|142,263|5.7%
長崎船 その他|149|0|-
合計|425,248|7,513,854|5.7%
