都道府県名|陽性者数 検査人数※3||％
北海道|9,852|168,206|5.9%
青森 ※3|330|7,261|4.5%
※3※4※5 岩手|220|10,109|2.2%
宮城 ※3※5|1,293|19,898|6.5%
秋田|90|3,689|2.4%
山形|173|8,120|2.1%
福島 ※3|530|41,884|1.3%
茨城|1,832|17,334|10.6%
栃木 ※3※5|749|57,257|1.3%
群馬 ※3※5|1,388|39,174|3.5%
埼玉 ※4|9,321|250,151|3.7%
千葉|7,466|172,106|4.3%
東京 ※1|43,704|797,901|5.5%
神奈川|13,639|265,968|5.1%
新潟 ※3※5|356|23,178|1.5%
富山 ※3※5|462|17,786|2.6%
石川 ※3|872|23,273|3.7%
福井 ※3|321|15,731|2.0%
山梨 ※3|381|13,645|2.8%
⾧野 ※3※5|803|33,056|2.4%
岐阜 ※5|1,245|43,971|2.8%
静岡 ※3※4|1,827|61,478|3.0%
※3※4※5 愛知|11,157|143,080|7.8%
三重 ※3|950|22,079|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|816|29,135|2.8%
京都|2,736|68,469|4.0%
大阪 ※3※5|22,507|350,264|6.4%
※3※4※5 兵庫|6,320|103,474|6.1%
奈良 ※5|1,306|35,104|3.7%
和歌山|503|14,074|3.6%
鳥取 ※3※4|63|18,057|0.3%
島根 ※5|155|7,158|2.2%
岡山 ※4|657|20,802|3.2%
広島 ※3|1,023|35,884|2.9%
山口 ※4|410|19,028|2.2%
徳島 ※3|185|7,925|2.3%
香川 ※5|163|18,038|0.9%
愛媛|345|8,520|4.0%
高知|233|4,061|5.7%
※3※4※5 福岡|6,060|210,854|2.9%
佐賀 ※3|337|10,504|3.2%
⾧崎|273|28,194|1.0%
熊本|1,085|25,055|4.3%
大分|397|30,105|1.3%
宮崎|557|10,314|5.4%
鹿児島|637|28,192|2.3%
沖縄 ※3|4,574|75,749|6.0%
⾧崎船 ※2 その他|149|0|-
合計|160,452|3,415,295|4.7%
